#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-2695.0301568523482,2640.762556411326,-54.267600441022296,602.6769103761667,421.875,0.01175829472505589,0
10000,19.999999999999794,-3108.4373834148482,2713.276737641543,-395.1606457733051,619.2261539256036,421.875,0.01175829472505589,828
15000,29.99999999999425,-3271.1688287273482,2713.04779779166,-558.1210309356884,619.17390509276,421.875,0.01175829472505589,827
20000,40.00000000000292,-3219.8817193523482,2622.8076337873936,-597.0740855649547,598.5792237944015,421.875,0.01175829472505589,826
25000,50.00000000001514,-3278.9403131023482,2654.85959366709,-624.0807194352583,605.8941473209026,421.875,0.01175829472505589,827
30000,60.00000000002736,-3441.2840631023482,2636.350077625364,-804.9339854769842,601.6698909925544,421.875,0.01175829472505589,827
35000,70.00000000001826,-3026.7157037273482,2726.8029530867934,-299.9127506405548,622.313117467189,421.875,0.01175829472505589,828
40000,79.99999999999496,-3445.9237115398482,2591.6324333697557,-854.2912781700925,591.4643950028297,421.875,0.01175829472505589,829
45000,89.99999999997165,-3264.5867974773482,2569.160447292961,-695.426350184387,586.3358206424059,421.875,0.01175829472505589,829
50000,99.99999999994834,-3316.2244927898482,2540.259151317179,-775.965341472669,579.7399441133847,421.875,0.01175829472505589,829
55000,109.99999999992504,-3292.2576959148482,2778.361326470971,-513.8963694438771,634.0798100461024,421.875,0.01175829472505589,830
60000,119.99999999990173,-3347.7391412273482,2536.8148360606283,-810.9243051667199,578.9538797729388,421.875,0.01175829472505589,831
65000,129.99999999989262,-3202.7957818523482,2445.9511512592435,-756.8446305931047,558.2168980672035,421.875,0.01175829472505589,832
70000,139.99999999994037,-3281.4510552898482,2617.3395686484873,-664.1114866413609,597.3312976619854,421.875,0.01175829472505589,833
75000,149.99999999998812,-3089.0643365398482,2849.951038107276,-239.11329843257226,650.4180704167437,421.875,0.01175829472505589,833
80000,160.00000000003587,-3124.3905084148482,2717.9727064282633,-406.4178019865849,620.2978716204536,421.875,0.01175829472505589,833
85000,170.00000000008362,-3264.2352349773482,2478.7228669710457,-785.5123680063025,565.6960848365568,421.875,0.01175829472505589,834
90000,180.00000000013137,-3302.6033990398482,2589.411026954651,-713.1923720851973,590.9574238812896,421.875,0.01175829472505589,834
95000,190.0000000001791,-3176.0028131023482,2738.321009507403,-437.68180359494545,624.9417773746306,421.875,0.01175829472505589,835
100000,200.00000000022686,-3381.0819146648482,2569.4833980351686,-811.5985166296796,586.4095247151346,421.875,0.01175829472505589,835
105000,210.0000000002746,-3451.9207818523482,2802.738749753684,-649.1820320986644,639.6432447863019,421.875,0.01175829472505589,836
110000,220.00000000032236,-3382.2811334148482,2575.379333049059,-806.9018003657893,587.7550996473917,421.875,0.01175829472505589,836
115000,230.0000000003701,-3270.8924615398482,2353.387622989714,-917.5048385501341,537.0919767464441,421.875,0.01175829472505589,837
120000,240.00000000041786,-3369.2567193523482,2648.0838206689805,-721.1728986833677,604.3477750709642,421.875,0.01175829472505589,836
125000,250.0000000004656,-3508.1805474773482,2561.0984603613615,-947.0820871159867,584.4959076355991,421.875,0.01175829472505589,837
130000,260.00000000051335,-3617.3621881023482,2739.803389940411,-877.5587981619374,625.2800874045114,421.875,0.01175829472505589,837
135000,270.0000000005611,-3223.0047662273482,2663.198831640184,-559.8059345871643,607.7973347787503,421.875,0.01175829472505589,838
140000,280.00000000060885,-3325.6561334148482,2669.5219068974257,-656.1342265174226,609.2403919937424,421.875,0.01175829472505589,838
145000,290.0000000006566,-3177.9735162273482,2560.3056765068322,-617.667839720516,584.3149778799557,421.875,0.01175829472505589,838
150000,300.00000000070435,-3346.0106256023482,2753.8316984549165,-592.1789271474318,628.4816390217893,421.875,0.01175829472505589,838
155000,310.0000000007521,-3471.5575006023482,2582.874965881929,-888.6825347204194,589.46575887575,421.875,0.01175829472505589,838
160000,320.00000000079984,-3503.6707818523482,2776.2524283900857,-727.4183534622625,633.5985156652044,421.875,0.01175829472505589,838
165000,330.0000000008476,-3493.8875787273482,2672.4038878651336,-821.4836908622146,609.8981199599181,421.875,0.01175829472505589,838
170000,340.00000000089534,-3365.5692193523482,2652.9550892561674,-712.6141300961808,605.4594998243354,421.875,0.01175829472505589,838
175000,350.0000000009431,-3472.9842584148482,2602.4994776630774,-870.4847807517708,593.9444804098723,421.875,0.01175829472505589,837
180000,360.00000000099084,-3365.6502740398482,2612.6434913761914,-753.0067826636568,596.2595552084719,421.875,0.01175829472505589,837
185000,370.0000000010386,-3369.9705865398482,2639.7586697731167,-730.2119167667315,602.4478025769763,421.875,0.01175829472505589,837
190000,380.00000000108633,-3354.5252740398482,2525.9116226546466,-828.6136513852016,576.4655398225198,421.875,0.01175829472505589,837
195000,390.0000000011341,-3220.1033990398482,2675.4370449716225,-544.6663540682257,610.5903494635461,421.875,0.01175829472505589,837
200000,400.00000000118183,-3422.4237115398482,2778.1191498260014,-644.3045617138469,634.0245403014594,421.875,0.01175829472505589,837
205000,410.0000000012296,-3571.6200006023482,2710.889522973448,-860.7304776289002,618.6813419139825,421.875,0.01175829472505589,837
210000,420.00000000127733,-3589.8260552898482,2613.5792002230883,-976.24685506676,596.4731034184349,421.875,0.01175829472505589,836
215000,430.0000000013251,-3669.8055474773482,2766.898484867066,-902.9070626102821,631.4637513076138,421.875,0.01175829472505589,836
220000,440.0000000013728,-3538.7137506023482,2516.337587799877,-1022.3761628024713,574.2805460478626,421.875,0.01175829472505589,836
225000,450.0000000014206,-3605.6727349773482,2594.351971987635,-1011.3207629897133,592.0850502479949,421.875,0.01175829472505589,836
230000,460.0000000014683,-3426.2733209148482,2619.840622268617,-806.4326986462311,597.9020900888946,421.875,0.01175829472505589,836
235000,470.00000000151607,-3494.5242974773482,2352.5746385231614,-1141.9496589541868,536.9064367912155,421.875,0.01175829472505589,836
240000,480.0000000015638,-3539.3026177898482,2543.4731467738748,-995.8294710159735,580.4734446877175,421.875,0.01175829472505589,836
245000,490.00000000161157,-3570.7264459148482,2558.671083830297,-1012.0553620845512,583.9419298519813,421.875,0.01175829472505589,836
250000,500.0000000016593,-3417.3690240398482,2716.1883649230003,-701.1806591168479,619.8906477968513,421.875,0.01175829472505589,837
