#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
250,0.5000000000000003,-676900.8745600292,42003.98984715748,-634896.8847128717,118.28421400394251,422.0553404650854,1.00839251213665,0
500,1.0000000000000007,-651239.3745600292,67087.53325193874,-584151.8413080905,188.92005661947712,422.0553404650854,1.00839251213665,10.8
750,1.500000000000001,-633433.3745600292,80759.58557531342,-552673.7889847158,227.4208744888203,422.0553404650854,1.00839251213665,17.9
1000,2.0000000000000013,-621040.6245600292,89592.21792751882,-531448.4066325105,252.29377297222737,422.0553404650854,1.00839251213665,23.2
1250,2.4999999999999463,-611462.1245600292,94658.6250398655,-516803.49952016375,266.5608934359865,422.0553404650854,1.00839251213665,27.3
1500,2.999999999999891,-604536.3745600292,98691.23183243757,-505845.1427275917,277.91680811414,422.0553404650854,1.00839251213665,26
1750,3.499999999999836,-599586.8745600292,101125.0743878551,-498461.8001721741,284.77056545301315,422.0553404650854,1.00839251213665,28.5
2000,3.999999999999781,-595720.8575666263,102570.09816623805,-493150.7594003882,288.839786078601,422.0570773335336,1.008388362353998,27.6
2250,4.499999999999726,-592784.8575666263,103567.03908265059,-489217.8184839757,291.6471949256014,422.0570773335336,1.008388362353998,29.4
2500,4.999999999999671,-591196.4141533142,104354.87449870881,-486841.5396546054,293.86575781193693,423.2813404270487,1.0054717852738115,31
2750,5.499999999999616,-588370.4141533142,103956.7747490314,-484413.6394042828,292.7446996420559,423.2813404270487,1.0054717852738115,32.4
3000,5.999999999999561,-589845.6641533142,105392.35203042859,-484453.3121228856,296.78731871205053,423.2813404270487,1.0054717852738115,31.3
3250,6.499999999999506,-588970.6641533142,105690.84841957543,-483279.81573373877,297.62789149815313,423.2813404270487,1.0054717852738115,32.4
3500,6.999999999999451,-588174.4141533142,105569.50805050356,-482604.90610281064,297.286194191901,423.2813404270487,1.0054717852738115,31.5
3750,7.499999999999396,-588117.1641533142,105777.96317316638,-482339.2009801478,297.8732086738344,423.2813404270487,1.0054717852738115,32.5
4000,7.999999999999341,-586265.9141533142,105655.3057272011,-480610.6084261131,297.5278024483657,423.2813404270487,1.0054717852738115,33.4
4250,8.499999999999508,-586036.4399285787,106461.00713108008,-479575.4327974986,299.79667637264004,423.3815169965261,1.005233879956476,34.3
4500,8.999999999999675,-586200.1375690033,106765.80660339753,-479434.33096560574,300.65499878779804,422.2585245635374,1.007907289668552,33.5
4750,9.499999999999842,-586398.3875690033,106691.29626803577,-479707.0913009675,300.44517594750346,422.2585245635374,1.007907289668552,34.2
5000,10.000000000000009,-586436.5703651677,106027.73264581198,-480408.8377193557,298.57656532784677,422.1631151013022,1.0081350781442624,34.9
5250,10.500000000000176,-586933.1042925972,105897.70443382178,-481035.3998587754,298.2104028535303,421.368627276457,1.0100359103219259,34.2
5500,11.000000000000343,-587981.3542925972,106588.45242406521,-481392.90186853195,300.1555652868622,421.368627276457,1.0100359103219259,34.8
5750,11.50000000000051,-586068.3542925972,106605.72278822074,-479462.6315043764,300.20419903468314,421.368627276457,1.0100359103219259,35.4
6000,12.000000000000677,-585899.7437415305,106775.63991520053,-479124.1038263299,300.68268962292836,421.66024945413545,1.0093373648173811,34.6
6250,12.500000000000844,-586060.2972781858,106648.70226033579,-479411.59501785005,300.3252302294799,421.37443573656554,1.0100219874239147,35.1
6500,13.00000000000101,-586147.2972781858,106976.87900223705,-479170.4182759488,301.24938358042147,421.37443573656554,1.0100219874239147,35.6
6750,13.500000000001178,-585246.0472781858,106084.11369236384,-479161.933585822,298.73533566848283,421.37443573656554,1.0100219874239147,35
7000,14.000000000001345,-586093.7972781858,106595.93682332663,-479497.8604548592,300.1766415295513,421.37443573656554,1.0100219874239147,35.5
7250,14.500000000001512,-585673.7080031899,105803.95860804792,-479869.74939514196,297.94641242409347,422.78909316037874,1.0066424416271131,36
7500,15.000000000001679,-585991.7119647334,107026.84543598208,-478964.8665287513,301.39009022194807,423.01958068213725,1.0060939598729268,35.3
7750,15.500000000001846,-586967.9619647334,107306.6601129775,-479661.30185175594,302.1780548713922,423.01958068213725,1.0060939598729268,35.7
8000,16.00000000000201,-586886.1754962741,107205.40069630055,-479680.7747999736,301.89290599492324,424.02680398845763,1.003704107922059,35
8250,16.500000000001734,-585312.6754962741,106554.31695180561,-478758.35854446853,300.05943900170286,424.02680398845763,1.003704107922059,35.3
8500,17.000000000001457,-584351.551078897,106563.9414189742,-477787.6096599228,300.08654172547705,423.5244101989417,1.0048947233817316,35.5
8750,17.50000000000118,-585027.301078897,107441.3558260423,-477585.94525285467,302.55736113747656,423.5244101989417,1.0048947233817316,35.8
9000,18.000000000000902,-585525.6951582455,107638.80633468187,-477886.88882356364,303.11338636993884,423.3295598468052,1.0053572568527747,35.3
9250,18.500000000000625,-585984.9451582455,107342.0165063861,-478642.9286518594,302.2776192989518,423.3295598468052,1.0053572568527747,35.6
9500,19.000000000000348,-584883.9451582455,106868.46544921817,-478015.47970902734,300.9440884893391,423.3295598468052,1.0053572568527747,35.9
9750,19.50000000000007,-585401.8350412832,106785.23231150382,-478616.6027297793,300.70970203439873,424.2167596835066,1.0032546694991495,35.3
10000,19.999999999999794,-585255.5850412832,107059.07657602686,-478196.5084652563,301.480853863224,424.2167596835066,1.0032546694991495,35.6
10250,20.499999999999517,-583927.8151702425,106831.73021991365,-477096.0849503288,300.84064122777295,424.47711497186367,1.0026393179299835,35.9
10500,20.99999999999924,-584570.0651702425,106130.99997402524,-478439.0651962172,298.8673685299816,424.47711497186367,1.0026393179299835,35.6
10750,21.499999999998963,-584998.8253373518,107333.58879465767,-477665.2365426941,302.25388666637866,424.3727052514108,1.0028860003617344,35.9
11000,21.999999999998685,-584777.9161552158,106281.35125709698,-478496.56489811884,299.2907612459435,424.9842012080241,1.0014429802861127,36.2
11250,22.49999999999841,-584626.4161552158,106395.97919693537,-478230.43695828045,299.61355619509027,424.9842012080241,1.0014429802861127,35.7
11500,22.99999999999813,-585565.1632298524,106424.77108489425,-479140.3921449582,299.6946348223659,424.18287445736286,1.0033348130254511,36
11750,23.499999999997854,-586050.4132298524,106354.12524479549,-479696.287985057,299.4956944907656,424.18287445736286,1.0033348130254511,36.3
12000,23.999999999997577,-585749.1632298524,106486.88970623189,-479262.27352362056,299.86956230727077,424.18287445736286,1.0033348130254511,35.9
12250,24.4999999999973,-585339.1632298524,106228.15388813114,-479111.0093417213,299.1409562155619,424.18287445736286,1.0033348130254511,36.1
12500,24.999999999997023,-585809.1632298524,107029.85810001782,-478779.3051298346,301.39857395406074,424.18287445736286,1.0033348130254511,35.6
12750,25.499999999996746,-585355.4924784335,106802.1904200277,-478553.3020584058,300.7574564630861,424.20050373904354,1.0032931155925557,35.8
13000,25.99999999999647,-585796.2424784335,105723.9364113493,-480072.3060670842,297.72106805386085,424.20050373904354,1.0032931155925557,36.1
13250,26.49999999999619,-586992.7424784335,106059.14432767662,-480933.5981507569,298.66502135579606,424.20050373904354,1.0032931155925557,36.3
13500,26.999999999995914,-586505.7424784335,106267.13766407325,-480238.60481436027,299.25073543684533,424.20050373904354,1.0032931155925557,35.9
13750,27.499999999995637,-585752.616614372,105466.36955995142,-480286.2470544206,296.99575379962147,425.35236391861105,1.0005761837348397,36.1
