#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,19.999999999999794,-583639.097207576,106157.3434807503,-477481.7537268257,298.9415524586612,426.34288504151095,0.9982515481426133,0
20000,40.00000000000292,-586434.032155449,107326.4718068816,-479107.56034856744,302.2338450629921,426.06304186192745,0.9989072114126207,262
30000,60.00000000002736,-585348.1782993427,106627.29414795025,-478720.8841513925,300.26494448624345,425.1643740763521,1.0010185965295548,242
40000,79.99999999999496,-583426.514088402,105609.18026117038,-477817.33382723166,297.3979120614081,427.00442341168485,0.9967050028002831,247
50000,99.99999999994834,-584762.8546900782,106287.9098774147,-478474.9448126635,299.30923047355867,426.3942584069715,0.9981312755531185,251
60000,119.99999999990173,-585103.3244871073,107417.40873877541,-477685.9157483319,302.4899255818221,423.49627269455993,1.0049614895648258,253
70000,139.99999999994037,-584668.4373692824,106958.5836808884,-477709.85368839395,301.19786352926565,424.9560967609583,1.0015092106601287,247
80000,160.00000000003587,-584629.7534883912,107169.40416716255,-477460.3493212286,301.791538930236,424.5351919958466,1.002502155431299,249
90000,180.00000000013137,-585535.8195485547,107512.87674774119,-478022.94280081353,302.7587657192502,426.1633289202434,0.9986721431677367,250
100000,200.00000000022686,-585086.4652218483,106358.39494717272,-478728.0702746756,299.5077180721339,425.23834686688406,1.0008444632711004,247
110000,220.00000000032236,-584768.1473121285,107136.80347188658,-477631.3438402419,301.6997346128192,426.1031302437309,0.998813232817217,248
120000,240.00000000041786,-585254.3295330182,107126.47178986116,-478127.857743157,301.6706403555317,425.0450024116751,1.0012997273640838,249
130000,260.00000000051335,-584919.4619111787,107195.29595732226,-477724.1659538564,301.86445081454366,425.23869036708726,1.0008436548068558,248
140000,280.00000000060885,-585975.201816679,106145.448804469,-479829.75301221,298.90805677313506,425.16193488793004,1.0010243394542395,248
150000,300.00000000070435,-584898.1939756447,105678.76757055844,-479219.4264050862,297.59387154586585,425.3183829080816,1.0006561252356103,249
160000,320.00000000079984,-585658.7543664812,106302.34024185641,-479356.4141246248,299.34986671602013,425.1046331722032,1.0011592719100613,247
170000,340.00000000089534,-585163.2808591602,106170.21192899183,-478993.0689301684,298.977790308714,426.4019606070077,0.998113246070478,248
180000,360.00000000099084,-584869.8380018775,107265.62122329674,-477604.2167785808,302.0624884019414,423.85536085585824,1.0041100911709613,249
190000,380.00000000108633,-587038.4367561992,106876.50557852158,-480161.93117767764,300.9667296807736,423.8967259574455,1.004012107125833,247
200000,400.00000000118183,-585883.4615820404,106208.22465138731,-479675.2369306531,299.08483502058687,425.0831480378469,1.0012098738724498,248
210000,420.00000000127733,-585436.350700527,105929.75280334963,-479506.59789717733,298.3006518087725,425.30211635125187,1.000694397393454,248
220000,440.0000000013728,-586080.9020804805,106878.65329542774,-479202.24878505274,300.97277770161804,424.51982626051523,1.0025384415640932,247
230000,460.0000000014683,-585050.7988792006,105881.34668434114,-479169.45219485945,298.16433904989566,426.92233513517226,0.996896648420898,248
240000,480.0000000015638,-586746.5455796216,107194.48845477938,-479552.0571248422,301.86217686857003,424.6601417242815,1.0022071845598441,248
250000,500.0000000016593,-585088.0569577096,107270.61557467503,-477817.4413830346,302.07655261177933,424.7624625054259,1.0019657634573584,247
260000,520.0000000015274,-586233.5559946387,106867.59386903641,-479365.9621256023,300.94163409924147,424.581473524835,1.0023928776237152,248
270000,540.0000000010544,-585971.0369940107,107313.72836246039,-478657.3086315503,302.1979592266096,423.7318028018969,1.0044028846030515,248
280000,560.0000000005815,-584879.7466218192,105069.95670031449,-479809.78992150474,295.879445951395,424.3291769450225,1.002988877871621,247
290000,580.0000000001086,-584957.7666721824,106461.45774502971,-478496.30892715266,299.79794531202043,424.2754561794665,1.0031158739765773,248
300000,599.9999999996356,-584513.5543802236,106129.16872972995,-478384.38565049367,298.8622117033824,425.9565953100898,0.9991568383216328,248
310000,619.9999999991627,-585196.0623562732,106124.43248584098,-479071.6298704322,298.84887433024767,425.2801504663011,1.0007460836477498,247
320000,639.9999999986898,-584883.872572423,105959.4390209153,-478924.43355150765,298.3842488890566,424.75566996027334,1.0019817865458558,248
330000,659.9999999982168,-585035.6437515989,106906.73977001471,-478128.9039815842,301.0518698684039,424.59825581808514,1.0023532579338235,248
