Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,0.00016231892879651927,0.0
0.2425,0.004631902915533836,0.0
0.2475,0.048390136130829695,0.0
0.2525,0.24908648575306244,0.0
0.2575,0.7053688204436954,0.00027616848057307117
0.2625,1.300439198338139,0.004418065121563617
0.26749998,1.7467170989377723,0.027541862873096273
0.2725,1.8857359012469124,0.10989208807429901
0.2775,1.7358829085686187,0.28291808975763477
0.2825,1.4419128153889624,0.5380965195932672
0.2875,1.1330467571741938,0.7869987973147602
0.2925,0.8599299105587832,0.9920951074401343
0.2975,0.6551682717928062,1.1092058583239912
0.3025,0.5131222501159851,1.1580708668341855
0.3075,0.41763015742056275,1.1769995295586124
0.3125,0.35892478070366185,1.1580849973882665
0.3175,0.3249802335220662,1.1335025347392413
0.3225,0.3126479264315341,1.0973488849642914
0.3275,0.3038561735707432,1.0579265512184914
0.3325,0.3184326045328088,1.0368521718074468
0.3375,0.3290423857909062,1.0069010493733448
0.3425,0.3463158482050982,0.9610518456049975
0.3475,0.36731962678106705,0.9494998155171034
0.3525,0.394332909372532,0.9149090882923855
0.35750002,0.4173698709949045,0.8878064656320122
0.3625,0.4413519200521054,0.86824585006422
0.3675,0.4671675114858958,0.8439827517582047
0.3725,0.4982293896952375,0.8201104522650499
0.3775,0.527250245532895,0.7947383899002766
0.3825,0.5499947930493809,0.7766169292876549
0.3875,0.5728441664559681,0.7629995268362902
0.39249998,0.595261830681232,0.736562781927482
0.3975,0.6178040501922331,0.7235576863223109
0.4025,0.6366431376670008,0.7106089785797318
0.4075,0.6495823878453147,0.6927555488403815
0.4125,0.6570963292266705,0.6757279145351693
0.4175,0.6724681787860489,0.6650879429541914
0.4225,0.6868530628420896,0.6633997312772665
0.4275,0.6953229173322588,0.649857328033581
0.4325,0.695600432654683,0.6472275435145105
0.4375,0.7047018077551566,0.6337736012997824
0.4425,0.7109966772493228,0.6331517763318082
0.4475,0.7181057124229104,0.6303428246732748
0.4525,0.7260273996530633,0.639478718028396
