#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,-2434.6442430122643,2890.3584276027977,455.7141845905335,659.6398766705486,421.875,0.01175829472505589,0
10000,19.999999999999794,-2288.1061570747643,2679.7897580266,391.6836009518356,611.5837290649641,421.875,0.01175829472505589,834
15000,29.99999999999425,-2642.4811570747643,2815.14907438308,172.66791730831574,642.4755388470652,421.875,0.01175829472505589,833
20000,40.00000000000292,-2496.9958055122643,2472.933757968247,-24.062047544017332,564.3748898206826,421.875,0.01175829472505589,835
25000,50.00000000001514,-2417.7555711372643,2741.7018561586738,323.9462850214095,625.7133568599943,421.875,0.01175829472505589,835
30000,60.00000000002736,-2409.3815476997643,2620.9514017403126,211.5698540405483,598.1555930547274,421.875,0.01175829472505589,833
35000,70.00000000001826,-2738.5622117622643,2608.2708559818566,-130.29135578040768,595.2616289150756,421.875,0.01175829472505589,834
40000,79.99999999999496,-2504.3551805122643,2492.4631069228053,-11.89207358945896,568.8318932195743,421.875,0.01175829472505589,833
45000,89.99999999997165,-2653.1989305122643,2700.8470845259726,47.648154013708336,616.3894487025035,421.875,0.01175829472505589,834
50000,99.99999999994834,-2614.7526414497643,2611.707212944282,-3.0454285054820502,596.0458770073685,421.875,0.01175829472505589,832
55000,109.99999999992504,-2772.1715867622643,2703.1050034300424,-69.06658333222185,616.9047527330309,421.875,0.01175829472505589,832
60000,119.99999999990173,-2486.6891648872643,2528.6165219917893,41.92735710452507,577.0828540795059,421.875,0.01175829472505589,831
65000,129.99999999989262,-2898.2018601997643,2646.0730450227857,-252.1288151769786,603.8888742693885,421.875,0.01175829472505589,832
70000,139.99999999994037,-2591.4684617622643,2632.2537738271058,40.78531206484149,600.7350293136417,421.875,0.01175829472505589,832
75000,149.99999999998812,-2608.2135789497643,2530.6087394803762,-77.60483946938803,577.5375195237367,421.875,0.01175829472505589,833
80000,160.00000000003587,-2731.2360398872643,2658.6434818804264,-72.59255800683786,606.7577092689792,421.875,0.01175829472505589,833
85000,170.00000000008362,-2801.4303758247643,2372.8359005735256,-428.5944752512387,541.5304779732555,421.875,0.01175829472505589,833
90000,180.00000000013137,-2755.9557664497643,2577.2319403886795,-178.72382606108476,588.1779031534744,421.875,0.01175829472505589,833
95000,190.0000000001791,-2885.9987351997643,2426.712263474241,-459.28647172552337,553.8261839451827,421.875,0.01175829472505589,833
100000,200.00000000022686,-2765.1618211372643,2817.4174960032105,52.255674865946276,642.9932398157235,421.875,0.01175829472505589,833
105000,210.0000000002746,-2567.2819383247643,2713.1497985981405,145.8678602733762,619.1971837971465,421.875,0.01175829472505589,833
110000,220.00000000032236,-2654.8922898872643,2585.4023395702243,-69.48995031703998,590.0425580893445,421.875,0.01175829472505589,833
115000,230.0000000003701,-2846.3122117622643,2782.5846311859787,-63.72758057628562,635.043655974256,421.875,0.01175829472505589,833
120000,240.00000000041786,-2721.8297898872643,2597.941464021802,-123.88832586546232,592.9042469469633,421.875,0.01175829472505589,833
125000,250.0000000004656,-2792.7282273872643,2655.729395829141,-136.99883155812313,606.092654255345,421.875,0.01175829472505589,833
130000,260.00000000051335,-2630.1061570747643,2555.186567749828,-74.91958932493617,583.1466908478404,421.875,0.01175829472505589,833
135000,270.0000000005611,-2624.2448289497643,2606.4615029096603,-17.78332604010393,594.8486969319696,421.875,0.01175829472505589,833
140000,280.00000000060885,-2724.5797898872643,2669.8670723363757,-54.712717550888556,609.3191659220571,421.875,0.01175829472505589,833
145000,290.0000000006566,-2415.2565476997643,2631.0258296132088,215.7692819134445,600.4547869180697,421.875,0.01175829472505589,832
150000,300.00000000070435,-2600.6852586372643,2612.3470909092575,11.661832271993262,596.1919104604758,421.875,0.01175829472505589,832
155000,310.0000000007521,-2560.6930711372643,2702.760168708861,142.0670975715966,616.8260542813857,421.875,0.01175829472505589,832
160000,320.00000000079984,-2634.2340867622643,2579.662268549204,-54.571818213060396,588.7325545602922,421.875,0.01175829472505589,832
165000,330.0000000008476,-2664.7106492622643,2387.18041677773,-277.5302324845343,544.8041947585083,421.875,0.01175829472505589,832
170000,340.00000000089534,-2763.9645555122643,2906.0742270722985,142.10967156003426,663.2265488025715,421.875,0.01175829472505589,832
175000,350.0000000009431,-2733.9860398872643,2525.715133712627,-208.27090617463728,576.4206969614257,421.875,0.01175829472505589,832
180000,360.00000000099084,-2580.9889695747643,2609.753585718572,28.76461614380787,595.6000186633235,421.875,0.01175829472505589,832
185000,370.0000000010386,-2642.8727586372643,2817.1501919664443,174.27743332917998,642.9322354779356,421.875,0.01175829472505589,832
190000,380.00000000108633,-2524.5905320747643,2681.232740625739,156.64220855097483,611.9130476901713,421.875,0.01175829472505589,832
195000,390.0000000011341,-2743.7770555122643,2514.312090944499,-229.4649645677655,573.8182855603333,421.875,0.01175829472505589,832
