#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,19.999999999999794,-584512.8615105958,107317.22881566838,-477195.6326949274,302.2078165843957,424.7104000960394,1.0020885877436405,0
20000,40.00000000000292,-584334.8487415151,107166.35171921272,-477168.49702230236,301.7829431656944,425.12612001913584,1.0011086710294805,262
30000,60.00000000002736,-583684.5812407667,106298.71628626261,-477385.86495450407,299.33966157263836,425.8811031176137,0.9993339500549318,244
40000,79.99999999999496,-584254.5695695425,106220.75684873157,-478033.812720811,299.1201259802791,423.9141274477786,1.003970892866045,250
50000,99.99999999994834,-585077.3768642386,106513.01035155717,-478564.3665126815,299.94311865305644,424.9677117159162,1.0014818380291004,252
60000,119.99999999990173,-584003.1738045262,106741.0771830189,-477262.0966215073,300.5853601638744,424.13549331281905,1.0034468978487006,254
70000,139.99999999994037,-585333.2648844239,106520.07194078123,-478813.19294364273,299.9630042528298,422.3531045630545,1.0076815830975803,248
80000,160.00000000003587,-584147.5302683865,106844.57541670534,-477302.95485168113,300.8768136012012,425.3147805870441,1.000664600569118,250
90000,180.00000000013137,-583741.5920912111,106244.82912811241,-477496.7629630987,299.18791407984315,424.37630462362563,1.0028774943260181,251
100000,200.00000000022686,-584595.1866655434,106057.83172494784,-478537.3549405955,298.6613250359312,423.8247398302167,1.004182637386317,248
110000,220.00000000032236,-585118.1762883156,106585.57296740136,-478532.6033209142,300.14745666981224,424.36760427827494,1.0028980552275975,249
120000,240.00000000041786,-584533.6336212005,106755.67917021486,-477777.9544509856,300.62647970001024,424.9670115376596,1.0014834880767236,250
130000,260.00000000051335,-583378.5153668132,106469.70764355408,-476908.8077232591,299.8211772184683,424.5392983155952,1.0024924588156612,248
140000,280.00000000060885,-582933.5720104398,105988.2493249632,-476945.3226854766,298.46537937646787,424.0685973814138,1.0036051894912836,249
150000,300.00000000070435,-583446.2281566933,106961.46039540367,-476484.7677612896,301.2059644243613,425.138625113777,1.0010792242609732,250
160000,320.00000000079984,-583937.8163172835,107354.38192366739,-476583.43439361616,302.31244060210105,425.18133994037817,1.0009786532305411,248
170000,340.00000000089534,-584321.4933251608,107255.31100967154,-477066.1823154893,302.0334546001691,425.630227002062,0.9999229801651628,249
180000,360.00000000099084,-583788.0421856213,106377.04555562808,-477410.99662999326,299.5602386200596,426.32793049127605,0.9982865643868144,250
190000,380.00000000108633,-583672.6059186216,107852.65422508604,-475819.9516935356,303.7155870114708,425.98262842872873,0.9990957767506319,248
200000,400.00000000118183,-583851.9208226372,106979.30598564941,-476872.61483698775,301.2562180222537,424.8077817012731,1.0018588720946708,249
210000,420.00000000127733,-584647.9004559144,106388.84161575121,-478259.0588401632,299.5934566001868,425.6918627568849,0.9997782017161503,249
220000,440.0000000013728,-583543.6429953058,106188.0701785083,-477355.57281679753,299.02807955540766,425.25119349525653,1.0008142282545385,248
230000,460.0000000014683,-582958.0471980376,107019.75069905585,-475938.29649898177,301.3701112774731,427.5300979600588,0.9954794927023763,249
240000,480.0000000015638,-584670.4141295818,107040.40395956498,-477630.0101700168,301.4282713402393,426.0546689554905,0.9989268421248972,249
250000,500.0000000016593,-583476.9131651022,106544.85771340941,-476932.05545169284,300.03280156600107,425.32693540396343,1.0006360039908035,248
260000,520.0000000015274,-583380.7213116805,105780.01257134881,-477600.7087403317,297.87897982686235,425.7104904262024,0.9997344547609982,248
270000,540.0000000010544,-584482.6238449588,107488.97922114632,-476993.6446238125,302.6914697276028,424.0890461499663,1.0035567975546742,249
280000,560.0000000005815,-583395.3066700213,107010.27367327374,-476385.0329967475,301.34342375207825,423.58061186642476,1.0047613915966669,248
290000,580.0000000001086,-584204.9004758298,106838.31526111445,-477366.5852147154,300.8591848572104,426.83868737714704,0.9970920106785595,248
300000,599.9999999996356,-585912.9975054218,107124.26629151893,-478788.7312139028,301.66442962081703,423.3551896602095,1.005296392785138,249
310000,619.9999999991627,-585111.812732744,106712.58178624831,-478399.2309464957,300.50511646269257,424.6119733628587,1.0023208758377988,248
320000,639.9999999986898,-584703.0331201297,106991.27207286138,-477711.76104726834,301.28991480262437,424.8997191269444,1.0016420954731762,248
330000,659.9999999982168,-584348.1287422432,107333.1555537607,-477014.97318848246,302.25266664991926,426.7625695533804,0.9972698530653165,249
340000,679.9999999977439,-584638.0121620162,106187.65953868808,-478450.35262332816,299.02692318410703,423.8684965473276,1.004078973783219,248
