Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,0.0,0.0
0.2425,0.000701001863709599,0.0
0.2475,0.012711600167599178,0.0
0.2525,0.07726636230520238,0.0
0.2575,0.2635723070010989,0.0002417777681834219
0.2625,0.5873213451441316,0.00498546781572179
0.26749998,0.9394889462000959,0.035110014784407756
0.2725,1.176155791102522,0.12447790147868831
0.2775,1.2356907222914362,0.3260160701282515
0.2825,1.1665668619491132,0.5864257662524939
0.2875,1.0175352541796863,0.8317832570110604
0.2925,0.8617857614891328,0.9881064115626625
0.2975,0.7098357741020329,1.0645984039846106
0.3025,0.6017978499593931,1.0754273992474594
0.3075,0.5250804344662753,1.0404483704676315
0.3125,0.46819299820803945,1.0033879697621202
0.3175,0.43241232297307614,0.9516342653482498
0.3225,0.40838350775320154,0.9098897295303592
0.3275,0.39987245084140155,0.8714046413647459
0.3325,0.4024399944424201,0.8357667975384485
0.3375,0.4031304816061508,0.8037476809080237
0.3425,0.41155487786044664,0.7828913947914569
0.3475,0.4244528611421691,0.7523891623936994
0.3525,0.4384679845172156,0.7298153900938951
0.35750002,0.4522870685645984,0.7083740137649421
0.3625,0.4632712412318006,0.7036647640605213
0.3675,0.47611875333231896,0.6844938375987126
0.3725,0.4909386272557365,0.668306381710085
0.3775,0.5008244298156761,0.6590607143827957
0.3825,0.513614776932408,0.6430711850038174
0.3875,0.5227746330377553,0.633369494136421
0.39249998,0.5282987224742307,0.6280803873656688
0.3975,0.5421130838130711,0.6190939824021789
0.4025,0.5512190547989034,0.6094906218865389
0.4075,0.5527132362622811,0.6014678536094342
0.4125,0.5592490768825523,0.5934097064163169
0.4175,0.5617654700196338,0.5855079610575353
0.4225,0.5653774737123816,0.5834035556005495
0.4275,0.5712204555120339,0.5824614003717219
0.4325,0.5728416695880744,0.5799184747908424
0.4375,0.5773877407558359,0.5760476220745665
0.4425,0.5802275130742482,0.5739932867660947
0.4475,0.5857827840711357,0.5732940140554059
0.4525,0.5928796261156632,0.5711916361704067
