#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
250,0.5000000000000003,-675171.3108474854,42179.538032476994,-632991.7728150084,118.77856178366285,423.34867575722444,1.0053118608934584,0
500,1.0000000000000007,-648522.2113773781,66663.93606504722,-581858.2753123308,187.72719707237064,424.8553604837797,1.0017466757337177,7.62
750,1.500000000000001,-630183.1114503718,81089.81023487722,-549093.3012154945,228.3507948236112,426.3989347048482,0.9981203290924578,13
1000,2.0000000000000013,-616814.6114503718,89426.22559324477,-527388.385857127,251.82633469168,426.3989347048482,0.9981203290924578,17
1250,2.4999999999999463,-608272.406054717,94816.34922563203,-513456.056829085,267.0050484177083,426.4725360826559,0.9979480717365357,20.2
1500,2.999999999999891,-602658.406054717,98179.12777604093,-504479.2782786761,276.47471116050485,426.4725360826559,0.9979480717365357,19.5
1750,3.499999999999836,-598026.406054717,100097.9425276129,-497928.4635271041,281.8781382048103,426.4725360826559,0.9979480717365357,21.5
2000,3.999999999999781,-592988.156054717,102158.50053525099,-490829.65551946603,287.68071756048295,426.4725360826559,0.9979480717365357,20.2
2250,4.499999999999726,-590282.5205765688,104650.07527286324,-485632.4453037055,294.69705006944076,425.8613999806336,0.9993801857872795,21.7
2500,4.999999999999671,-588428.2705765688,105024.48860440403,-483403.78197216475,295.75140673401125,425.8613999806336,0.9993801857872795,23.1
2750,5.499999999999616,-586799.2705765688,105509.35222920938,-481289.9183473594,297.11679399764716,425.8613999806336,0.9993801857872795,24.3
3000,5.999999999999561,-586536.5205765688,105659.70973670704,-480876.81083986175,297.5402042417375,425.8613999806336,0.9993801857872795,23.5
3250,6.499999999999506,-584409.7705765688,105686.9317974096,-478722.8387791592,297.61686219888605,425.8613999806336,0.9993801857872795,24.6
3500,6.999999999999451,-584112.0205765688,106056.262557465,-478055.7580191038,298.65690622374166,425.8613999806336,0.9993801857872795,23.9
3750,7.499999999999396,-583926.7705765688,105890.87737014308,-478035.8932064257,298.1911776831565,425.8613999806336,0.9993801857872795,24.8
4000,7.999999999999341,-583576.5205765688,106298.48893275886,-477278.0316438099,299.339021339875,425.8613999806336,0.9993801857872795,25.6
4250,8.499999999999508,-584590.7705765688,106685.61860078818,-477905.1519757806,300.4291875042579,425.8613999806336,0.9993801857872795,26.3
4500,8.999999999999675,-584385.7705765688,106215.49975156202,-478170.27082500677,299.1053218721716,425.8613999806336,0.9993801857872795,25.5
4750,9.499999999999842,-584614.910771416,106105.56014656968,-478509.35062484635,298.7957293831785,425.71678585661954,0.9997196708508855,26.2
5000,10.000000000000009,-584564.160771416,106791.9330174831,-477772.22775393294,300.7285713785471,425.71678585661954,0.9997196708508855,26.8
5250,10.500000000000176,-584800.660771416,106412.63529902892,-478388.0254723871,299.66046016663375,425.71678585661954,0.9997196708508855,26.1
5500,11.000000000000343,-583885.660771416,107378.73644300981,-476506.9243284062,302.38102349597244,425.71678585661954,0.9997196708508855,26.7
5750,11.50000000000051,-583280.660771416,107358.23573499743,-475922.4250364186,302.32329302459124,425.71678585661954,0.9997196708508855,27.3
6000,12.000000000000677,-582575.410771416,107011.1817060629,-475564.22906535317,301.3459807935675,425.71678585661954,0.9997196708508855,26.7
6250,12.500000000000844,-582967.910771416,106949.0306603376,-476018.88011107844,301.1709620008316,425.71678585661954,0.9997196708508855,27.2
6500,13.00000000000101,-583521.160771416,106438.60164777096,-477082.5591236451,299.7335820096464,425.71678585661954,0.9997196708508855,27.6
6750,13.500000000001178,-583107.160771416,106824.8942934506,-476282.2664779654,300.82139109959195,425.71678585661954,0.9997196708508855,27.1
7000,14.000000000001345,-583706.910771416,106723.27812009398,-476983.63265132206,300.53523758800145,425.71678585661954,0.9997196708508855,27.5
7250,14.500000000001512,-584228.660771416,106820.18837756454,-477408.4723938515,300.80813913082,425.71678585661954,0.9997196708508855,27.9
7500,15.000000000001679,-583990.410771416,107159.92502964847,-476830.48574176757,301.7648454581547,425.71678585661954,0.9997196708508855,27.3
7750,15.500000000001846,-584541.160771416,107417.25332738378,-477123.90744403226,302.48948793972255,425.71678585661954,0.9997196708508855,27.7
8000,16.00000000000201,-584290.160771416,107290.73449568608,-476999.42627572996,302.13320796207006,425.71678585661954,0.9997196708508855,27.3
8250,16.500000000001734,-583596.410771416,106342.23201374299,-477254.178757673,299.4622028750374,425.71678585661954,0.9997196708508855,27.6
8500,17.000000000001457,-584424.3050135737,107126.9248139963,-477297.3801995774,301.6719160820507,425.6498022795297,0.9998769945458151,28
8750,17.50000000000118,-584017.4001537883,106848.83961552923,-477168.56053825904,300.88882168443513,426.943284511348,0.9968477324087396,28.3
9000,18.000000000000902,-584765.9001537883,106512.95867305854,-478252.9414807297,299.9429731252003,426.943284511348,0.9968477324087396,27.8
