#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
250,0.5000000000000003,-668333.8720470248,42113.155527696945,-626220.7165193278,119.17901136711511,421.875,1.003488858535554,0
500,1.0000000000000007,-642447.1220470248,66224.66072884895,-576222.4613181758,187.41387328707862,421.875,1.003488858535554,37.9
750,1.500000000000001,-624346.1220470248,80290.62199641252,-544055.5000506123,227.22013659816793,421.875,1.003488858535554,18.8
1000,2.0000000000000013,-611866.4401274552,88345.92018715109,-523520.5199403041,250.0163973535071,422.95956640606147,1.0009156804086883,23
1250,2.4999999999999463,-602955.4401274552,94588.61090453426,-508366.82922292093,267.6830314170382,422.95956640606147,1.0009156804086883,25.9
1500,2.999999999999891,-596261.1972919242,97618.28822422668,-498642.9090676975,276.25693055135605,422.9588196302805,1.0009174476246778,26
1750,3.499999999999836,-591004.4472919242,99614.65473746427,-491389.7925544599,281.9065900079501,422.9588196302805,1.0009174476246778,28.1
2000,3.999999999999781,-587597.0738366954,101982.01078844987,-485615.0630482455,288.60613911974406,422.3471752295286,1.002366979167352,29.8
2250,4.499999999999726,-583834.8238366954,102865.26841612137,-480969.55542057403,291.10573264412676,422.3471752295286,1.002366979167352,28.6
2500,4.999999999999671,-581441.8912969679,103546.0534521061,-477895.8378448618,293.0323345936963,422.0805029376866,1.0030002789709223,29.4
2750,5.499999999999616,-580427.1412969679,103950.36593028286,-476476.775366685,294.1765272059265,422.0805029376866,1.0030002789709223,29.8
3000,5.999999999999561,-579305.3912969679,104001.52173071221,-475303.86956625566,294.3212966406665,422.0805029376866,1.0030002789709223,29.1
3250,6.499999999999506,-578732.6526360428,104948.12699771888,-473784.5256383239,297.00016215105467,421.5868511262778,1.0041747295099626,29.9
3500,6.999999999999451,-578099.5546602178,105363.51992727921,-472736.0347329386,298.1757121200265,422.84342674580813,1.0011905954238267,30.7
3750,7.499999999999396,-578958.8046602178,105865.51807699737,-473093.28658322047,299.59635235564565,422.84342674580813,1.0011905954238267,30.1
4000,7.999999999999341,-577641.5546602178,104951.14151421445,-472690.4131460034,297.00869314549556,422.84342674580813,1.0011905954238267,30.4
4250,8.499999999999508,-577750.4051948362,104946.56630276726,-472803.83889206895,296.99574542950893,423.19786692914516,1.0003520699823532,31
4500,8.999999999999675,-577596.4865267291,105645.96467168472,-471950.52185504435,298.97502257259873,422.6682888819224,1.0016054512027845,31.5
4750,9.499999999999842,-577018.1332901721,105880.85425162787,-471137.2790385442,299.6397532860132,422.2630640240766,1.0025666421312864,31.1
5000,10.000000000000009,-577293.8553622803,106395.95106838865,-470897.9042938916,301.09746237028077,422.8121030731072,1.0012647677720028,31.4
5250,10.500000000000176,-577145.8553622803,106133.77324775566,-471012.0821145246,300.3555067254497,422.8121030731072,1.0012647677720028,31.6
5500,11.000000000000343,-576787.8553622803,106351.1459963785,-470436.70936590177,300.9706653131738,422.8121030731072,1.0012647677720028,31.1
5750,11.50000000000051,-577313.8553622803,106281.29297097842,-471032.56239130185,300.77298327287383,422.8121030731072,1.0012647677720028,31.5
6000,12.000000000000677,-575522.3476617881,105772.5269751249,-469749.8206866632,299.3331902285566,422.83894705377554,1.0012012023595516,31.7
6250,12.500000000000844,-576604.8403837639,107374.65982729771,-469230.18055646616,303.8671798336612,423.15245944369383,1.0004594153871837,31.4
6500,13.00000000000101,-575914.8403837639,105764.01522068103,-470150.82516308286,299.30910220981497,423.15245944369383,1.0004594153871837,31.6
6750,13.500000000001178,-575754.8403837639,105841.298508721,-469913.5418750429,299.5278116783502,423.15245944369383,1.0004594153871837,31.9
7000,14.000000000001345,-575694.0903837639,106432.25222279015,-469261.83816097374,301.20019358666303,423.15245944369383,1.0004594153871837,31.7
7250,14.500000000001512,-574573.0903837639,105193.47863853676,-469379.6117452271,297.6945001939673,423.15245944369383,1.0004594153871837,32
7500,15.000000000001679,-575997.0903837639,106673.14817970409,-469323.9422040598,301.88192217307727,423.15245944369383,1.0004594153871837,32.2
7750,15.500000000001846,-576303.0903837639,105862.89281543705,-470440.19756832684,299.58892294140634,423.15245944369383,1.0004594153871837,32.1
8000,16.00000000000201,-577284.0903837639,105541.21118064324,-471742.87920312065,298.6785732245709,423.15245944369383,1.0004594153871837,32.3
8250,16.500000000001734,-576455.5468992642,105448.7104345281,-471006.83646473614,298.416798790084,423.52246916850635,0.9995853656261395,32.5
8500,17.000000000001457,-576661.9191215332,106449.31739997095,-470212.6017215622,301.2484875442098,422.1554784960096,1.0028221443505168,32.2
8750,17.50000000000118,-575924.1691215332,106296.52379937237,-469627.6453221608,300.8160860764408,422.1554784960096,1.0028221443505168,32.3
9000,18.000000000000902,-575239.6691215332,105902.47666129307,-469337.1924602401,299.70094407960215,422.1554784960096,1.0028221443505168,32.1
9250,18.500000000000625,-576014.2697163885,105641.97995970125,-470372.2897566873,298.96374595300506,422.92521501505286,1.0009969781055001,32.2
9500,19.000000000000348,-576799.6539508924,105624.18777746252,-471175.46617342986,298.9133945921844,422.4428022668334,1.0021400765334436,32.4
9750,19.50000000000007,-576793.1539508924,105474.32615729171,-471318.8277936007,298.4892905441729,422.4428022668334,1.0021400765334436,32.6
10000,19.999999999999794,-577200.9039508924,106350.9696519975,-470849.9342988949,300.97016626367906,422.4428022668334,1.0021400765334436,32.4
10250,20.499999999999517,-577343.5888298568,106304.80998067255,-471038.7788491843,300.83953572971393,422.9961865258483,1.0008290279676484,32.5
10500,20.99999999999924,-576683.5888298568,106260.35795583692,-470423.2308740199,300.71373778589344,422.9961865258483,1.0008290279676484,32.6
10750,21.499999999998963,-577207.5888298568,107481.2359715848,-469726.35285827203,304.1687872376255,422.9961865258483,1.0008290279676484,32.4
11000,21.999999999998685,-576721.6148933419,106290.19355852151,-470431.4213348204,300.79817167803327,423.8029540414162,0.9989238115440676,32.7
11250,22.49999999999841,-575883.2476676204,105776.87213143887,-470106.37553618156,299.3454868951741,424.12942150621836,0.9981549044422516,32.8
11500,22.99999999999813,-575843.2476676204,106192.40279762441,-469650.844869996,300.5214266548091,424.12942150621836,0.9981549044422516,32.7
11750,23.499999999997854,-576727.9584773616,106679.02015018373,-470048.9383271779,301.8985396795968,424.5006916174795,0.9972819139153901,32.9
12000,23.999999999997577,-576100.0426294035,105087.61707122774,-471012.4255581758,297.39491502217066,424.99114546123786,0.996131017589163,33
12250,24.4999999999973,-577038.210741852,106185.1429744804,-470853.06776737154,300.50088156541455,425.0260752287969,0.9960491529061926,32.8
12500,24.999999999997023,-575745.1388255008,105939.57472517132,-469805.56410032953,299.8059305267406,424.61302877867155,0.9970180693992678,32.9
12750,25.499999999996746,-575756.6388255008,105321.6830115401,-470434.95581396075,298.05731485926657,424.61302877867155,0.9970180693992678,33.1
13000,25.99999999999647,-575928.1388255008,104772.50637152966,-471155.6324539712,296.50316086148996,424.61302877867155,0.9970180693992678,32.9
13250,26.49999999999619,-577220.6388255008,105827.6750260145,-471392.96379948634,299.48925761656136,424.61302877867155,0.9970180693992678,33
13500,26.999999999995914,-577377.3888255008,105692.03526180936,-471685.3535636915,299.10540100934503,424.61302877867155,0.9970180693992678,32.8
13750,27.499999999995637,-576040.6388255008,104783.60403001777,-471257.0347954831,296.5345669138394,424.61302877867155,0.9970180693992678,32.9
14000,27.99999999999536,-576729.7457026932,105426.98987318849,-471302.75582950475,298.3553302300971,424.65433033239884,0.9969211001882672,33
14250,28.499999999995083,-577445.007351601,106284.90636613453,-471160.1009854665,300.78320907659213,423.6834300530881,0.9992056147714836,33
