#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,19.999999999999794,-577009.4905805765,106603.2673193008,-470406.2232612757,301.6841613605238,423.37164225911124,0.9999414697113576,0
20000,40.00000000000292,-575577.8367954614,106918.17155643378,-468659.6652390276,302.57533123812044,424.5134679184371,0.9972518993814954,222
30000,60.00000000002736,-576156.4063839661,105413.1279859887,-470743.2783979774,298.31610149049175,422.28663871920645,1.0025106725580901,233
40000,79.99999999999496,-576301.8308622185,105115.88751915407,-471185.94334306446,297.47491957164095,423.9373698990137,0.9986070873995668,235
50000,99.99999999994834,-576869.7666083756,106313.90923237975,-470555.85737599584,300.86528634870837,423.70861100364743,0.9991462321048806,231
60000,119.99999999990173,-577380.5072326548,106359.37418060895,-471021.1330520459,300.9939508364181,422.95257191735874,1.0009322328400574,233
70000,139.99999999994037,-576032.5030052802,105460.7358579621,-470571.76714731805,298.45083039038036,423.3703446690669,0.9999445344373412,232
80000,160.00000000003587,-576395.6405427791,105823.19711068575,-470572.44343209337,299.4765852457742,424.0882479401209,0.9982518125672308,235
90000,180.00000000013137,-576682.7254891107,106036.42734585342,-470646.29814325727,300.08002064030654,421.9420584198034,1.0033293760288902,236
100000,200.00000000022686,-576929.9535294278,105803.5152046144,-471126.4383248134,299.42088602119674,424.65876154051443,0.9969106975655738,237
110000,220.00000000032236,-575931.9924161192,105793.28376270141,-470138.70865341777,299.39193133668607,425.5496577710191,0.9948236462276335,236
120000,240.00000000041786,-575232.8357761316,106724.02803798037,-468508.8077381512,302.02591069951,424.40860015403774,0.9974983118651094,237
130000,260.00000000051335,-576246.0460250438,105627.37264681538,-470618.67337822844,298.92240768028114,424.09815272852734,0.9982284984525235,238
140000,280.00000000060885,-574567.1406909507,105875.16916208547,-468691.9715288652,299.6236646471376,426.85694039430706,0.9917769213348675,237
150000,300.00000000070435,-576852.4727839082,106006.314012721,-470846.15877118724,299.9948007790371,423.79166364634875,0.9989504242536655,238
160000,320.00000000079984,-576790.6997711402,106612.69515571289,-470178.00461542734,301.71084186472365,424.5016057237729,0.9972797664048472,238
170000,340.00000000089534,-576733.0214641495,105968.74296158418,-470764.2785025653,299.88847579164536,424.10072661184813,0.9982224401660805,237
180000,360.00000000099084,-577347.0022755237,105495.3702266278,-471851.63204889593,298.54884465136786,422.2507029488332,1.0025959915239893,237
190000,380.00000000108633,-575854.5012707515,105691.36922408396,-470163.1320466675,299.1035161418576,424.7851235674465,0.996614143732999,238
200000,400.00000000118183,-575288.5457283403,106502.50491448866,-468786.04081385164,301.39900667102097,424.46528511125695,0.9973651015623646,238
210000,420.00000000127733,-576389.0812744424,106088.94131386833,-470300.13996057404,300.2286336500077,423.8326367015293,0.9988538529957888,238
220000,440.0000000013728,-576268.289816034,106386.209395049,-469882.080420985,301.0698937166586,423.9678492567174,0.9985352968081915,239
230000,460.0000000014683,-575268.5166693823,106235.89670877834,-469032.619960604,300.6445131646387,424.73094397446147,0.9967412739773022,238
