#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,4336.530071888446,1596.6776422001421,5933.207714088589,606.749384744007,421.875,0.0064235798507712915,0
10000,19.999999999999794,4478.221478138446,1619.8263186123222,6098.047796750769,615.5460540274663,421.875,0.0064235798507712915,826
15000,29.99999999999425,4556.288372669696,1535.4169055074453,6091.705278177142,583.4698489661776,421.875,0.0064235798507712915,826
20000,40.00000000000292,4295.781048450946,1671.1645249389112,5966.945573389858,635.0549544336851,421.875,0.0064235798507712915,826
25000,50.00000000001514,4246.578900013446,1527.301515903324,5773.88041591677,580.3859405308634,421.875,0.0064235798507712915,825
30000,60.00000000002736,4409.291790638446,1660.5836831852794,6069.875473823726,631.0341558363906,421.875,0.0064235798507712915,827
35000,70.00000000001826,4488.886517200946,1585.3820491284132,6074.26856632936,602.4569753274473,421.875,0.0064235798507712915,829
40000,79.99999999999496,4179.027142200946,1612.0505552887917,5791.077697489738,612.5912061058996,421.875,0.0064235798507712915,827
45000,89.99999999997165,4592.119915638446,1455.564195305109,6047.684110943555,553.1252249137943,421.875,0.0064235798507712915,829
50000,99.99999999994834,4348.837689075946,1623.7214379329234,5972.55912700887,617.026228352462,421.875,0.0064235798507712915,826
55000,109.99999999992504,4280.634564075946,1533.5367349945009,5814.171299070447,582.7553701811106,421.875,0.0064235798507712915,828
60000,119.99999999990173,4385.533978138446,1509.5902797617018,5895.124257900148,573.6555390096288,421.875,0.0064235798507712915,828
65000,129.99999999989262,4417.824993763446,1578.9182908385992,5996.743284602046,600.0006990811822,421.875,0.0064235798507712915,830
70000,139.99999999994037,4339.742962513446,1667.4209749475121,6007.163937460959,633.6323775815974,421.875,0.0064235798507712915,831
75000,149.99999999998812,4380.483196888446,1685.1668507382274,6065.650047626674,640.3759424272373,421.875,0.0064235798507712915,832
80000,160.00000000003587,4436.958782825946,1520.7431851737201,5957.7019679996665,577.8937260537749,421.875,0.0064235798507712915,833
85000,170.00000000008362,4408.540325794696,1579.433592364192,5987.973918158888,600.1965174952112,421.875,0.0064235798507712915,833
90000,180.00000000013137,4329.073040638446,1591.720289438963,5920.793330077409,604.8655538076259,421.875,0.0064235798507712915,834
95000,190.0000000001791,4539.288372669696,1637.039805598557,6176.328178268253,622.0873071659554,421.875,0.0064235798507712915,834
100000,200.00000000022686,4331.073040638446,1427.2804693467915,5758.353509985238,542.377198593447,421.875,0.0064235798507712915,834
105000,210.0000000002746,4356.492474232196,1562.5581765957177,5919.050650827914,593.7837339350231,421.875,0.0064235798507712915,834
110000,220.00000000032236,4353.021282825946,1561.8719684258103,5914.893251251757,593.5229697244564,421.875,0.0064235798507712915,835
115000,230.0000000003701,4391.050091419696,1486.50191700086,5877.552008420556,564.8817893624655,421.875,0.0064235798507712915,835
120000,240.00000000041786,4339.380657825946,1563.074257928878,5902.4549157548245,593.97984868173,421.875,0.0064235798507712915,836
125000,250.0000000004656,4418.637005482196,1557.7115340456367,5976.348539527833,591.9419737026423,421.875,0.0064235798507712915,836
