#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
250,0.5000000000000003,-667077.4101017262,42634.57136364191,-624442.8387380843,120.6546030927983,421.875,1.003488858535554,0
500,1.0000000000000007,-641007.8857681509,67568.56403812021,-573439.3217300307,191.21708075906696,421.9034501857823,1.0034211903416979,50
750,1.500000000000001,-622764.8857681509,80599.36809338757,-542165.5176747633,228.0938791173373,421.9034501857823,1.0034211903416979,18.9
1000,2.0000000000000013,-610710.6357681509,89402.98109743095,-521307.65467072,253.00784913771557,421.9034501857823,1.0034211903416979,24.1
1250,2.4999999999999463,-601712.1357681509,93802.58316622832,-507909.5526019226,265.45859566567725,421.9034501857823,1.0034211903416979,28.1
1500,2.999999999999891,-594777.8857681509,97173.5826214528,-497604.3031466981,274.9984265655137,421.9034501857823,1.0034211903416979,26.9
1750,3.499999999999836,-589989.3857681509,99288.34142495181,-490701.0443431991,280.9831327772141,421.9034501857823,1.0034211903416979,29.5
2000,3.999999999999781,-586642.3857681509,100705.29514937534,-485937.0906187756,284.99307080996687,421.9034501857823,1.0034211903416979,31.6
2250,4.499999999999726,-583060.8857681509,102679.15722076903,-480381.7285473819,290.57904334743284,421.9034501857823,1.0034211903416979,30.2
2500,4.999999999999671,-581145.3857681509,103166.66653871827,-477978.71922943264,291.9586806084601,421.9034501857823,1.0034211903416979,31.8
2750,5.499999999999616,-580201.8857681509,103989.14395038271,-476212.7418177682,294.2862678805534,421.9034501857823,1.0034211903416979,33.2
3000,5.999999999999561,-578802.3857681509,104223.69613456071,-474578.68963359017,294.9500437737169,421.9034501857823,1.0034211903416979,31.9
3250,6.499999999999506,-577188.0432445039,105006.73230916803,-472181.3109353359,297.1660134863881,421.99084939141835,1.0032133701600972,33.1
3500,6.999999999999451,-576625.0432445039,105405.1844920778,-471219.8587524261,298.2936216326127,421.99084939141835,1.0032133701600972,34.1
3750,7.499999999999396,-576650.0432445039,105494.17174203764,-471155.87150246627,298.5454529746625,421.99084939141835,1.0032133701600972,33.1
4000,7.999999999999341,-576606.5432445039,106302.99224027002,-470303.5510042339,300.8343915769811,421.99084939141835,1.0032133701600972,34
4250,8.499999999999508,-577845.8792485353,105976.1068401396,-471869.77240839566,299.90931535484276,421.67089916003727,1.003974575997509,34.8
4500,8.999999999999675,-577903.8792485353,106195.8501809818,-471708.02906755346,300.53118264994146,421.67089916003727,1.003974575997509,35.6
4750,9.499999999999842,-578262.3232388995,106450.10650427721,-471812.21673462226,301.2507206865594,421.34026366861053,1.0047624181667445,34.9
5000,10.000000000000009,-577402.3232388995,105817.00636950659,-471585.3168693929,299.4590656274004,421.34026366861053,1.0047624181667445,35.5
5250,10.500000000000176,-577119.8232388995,106294.75590564762,-470825.0673332518,300.81108298836347,421.34026366861053,1.0047624181667445,36.2
5500,11.000000000000343,-576629.3232388995,106002.44042595394,-470626.8828129455,299.9838386405899,421.34026366861053,1.0047624181667445,35.2
5750,11.50000000000051,-576546.1698811194,105890.5674444494,-470655.60243667,299.66724134059336,421.69259057929776,1.0039229326109727,35.8
6000,12.000000000000677,-576140.2485986529,105699.79675782705,-470440.45184082584,299.12736581845337,422.43691786631376,1.0021540359989585,36.4
6250,12.500000000000844,-576435.011871641,106095.57174754166,-470339.4401240994,300.247397585415,422.61757297688,1.0017256481141326,35.6
6500,13.00000000000101,-576549.011871641,106559.80567770638,-469989.20619393466,301.56116617261375,422.61757297688,1.0017256481141326,36.1
6750,13.500000000001178,-575298.596233475,105324.84578727908,-469973.75044619595,298.0662654230755,423.1036607144407,1.000574803535936,36.6
7000,14.000000000001345,-575592.096233475,105964.81813745265,-469627.2780960224,299.87736865293954,423.1036607144407,1.000574803535936,35.7
7250,14.500000000001512,-575869.5427516149,106573.32309645507,-469296.21965515986,301.5994200764716,423.709856981161,0.9991432939770143,36.2
7500,15.000000000001679,-575029.5951557937,106447.53522426193,-468582.0599315318,301.2434440385303,424.2804622198629,0.9977995686619849,36.6
7750,15.500000000001846,-575511.8451557937,107111.7753314093,-468400.0698243844,303.12322431830887,424.2804622198629,0.9977995686619849,35.9
8000,16.00000000000201,-574886.6543080052,106522.56877362239,-468364.08553438284,301.4557868117111,424.5103748467007,0.9972591655682526,36.3
8250,16.500000000001734,-574923.1543080052,106583.42833453772,-468339.7259734675,301.6280176077947,424.5103748467007,0.9972591655682526,36.7
8500,17.000000000001457,-574984.4043080052,106618.96230352123,-468365.442004484,301.7285777116467,424.5103748467007,0.9972591655682526,36.1
8750,17.50000000000118,-575040.754137977,106504.29040367663,-468536.4637343004,301.40405955375,423.68774637179865,0.9991954353647683,36.5
9000,18.000000000000902,-575632.0808309512,106582.54160257749,-469049.53922837373,301.6255081820097,425.1227171535947,0.9958227239165245,36
9250,18.500000000000625,-575214.2389109149,106748.17662500415,-468466.0622859107,302.09425050191487,424.9744947765928,0.9961700464335828,36.3
9500,19.000000000000348,-574098.9889109149,105994.18084337993,-468104.80806753493,299.960464260942,424.9744947765928,0.9961700464335828,36.6
9750,19.50000000000007,-573776.8295848379,106640.92840190884,-467135.90118292905,301.79074113437355,425.51809941838,0.9948974268623099,36.9
10000,19.999999999999794,-575348.0056361342,106281.3989184483,-469066.6067176859,300.7732831011474,424.1587795983596,0.9980858172865321,36.3
10250,20.499999999999517,-574400.2556361342,106190.69707912044,-468209.55855701375,300.51659952080723,424.1587795983596,0.9980858172865321,36.7
10500,20.99999999999924,-575283.2556361342,106749.38771241638,-468533.86792371783,302.09767784424196,424.1587795983596,0.9980858172865321,36.9
10750,21.499999999998963,-575610.0056361342,106583.66596862618,-469026.33966750803,301.62869010538776,424.1587795983596,0.9980858172865321,36.6
11000,21.999999999998685,-574806.5056361342,106652.6311280802,-468153.874508054,301.82385951075565,424.1587795983596,0.9980858172865321,36.8
