#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,19.999999999999794,-576425.1739504365,106318.96066355763,-470106.2132868789,300.8795817527507,423.74843840522277,0.9990523240344029,0
20000,40.00000000000292,-575644.294138317,106461.51259660572,-469182.7815417113,301.282999597751,423.50060822189783,0.9996369638573684,227
30000,60.00000000002736,-576806.3731903345,105720.15153144137,-471086.22165889316,299.18496923870435,421.82698338717785,1.0036030857848512,245
40000,79.99999999999496,-576319.8233391461,105880.66345908446,-470439.15988006163,299.639213348637,423.4191971890638,0.999829164584749,251
50000,99.99999999994834,-576361.4160350598,106121.04355132778,-470240.37248373206,300.3194820529627,424.1157637624617,0.9981870478924111,244
60000,119.99999999990173,-576708.8397342963,105736.39226815873,-470972.4474661376,299.23093005359925,423.7310943771865,0.9990932169302694,248
70000,139.99999999994037,-574687.4837354519,106757.76766981883,-467929.7160656331,302.1213928811706,425.55458906021073,0.9948121182986196,245
80000,160.00000000003587,-577559.1032086667,106334.33409500291,-471224.76911366376,300.9230881188259,423.41607703948887,0.9998365323176059,247
90000,180.00000000013137,-574755.7487333771,106196.91384810349,-468558.8348852736,300.5341927971128,425.28938099685945,0.9954324775341923,250
100000,200.00000000022686,-577372.1440293859,105891.66954683536,-471480.4744825505,299.6703602584502,422.55179776672696,1.0018815786186732,251
110000,220.00000000032236,-576594.175904626,106299.61407330213,-470294.5618313239,300.8248314622279,423.8267153578742,0.9988678081258229,248
120000,240.00000000041786,-575958.9172597015,107065.04085914063,-468893.8764005609,302.99096711430803,423.1484093206179,1.0004689911853564,249
130000,260.00000000051335,-578017.5860276478,105138.5791034945,-472879.0069241533,297.5391360986183,423.05257916998295,1.0006956180843556,250
140000,280.00000000060885,-575328.5608153758,106359.3014107697,-468969.25940460607,300.993744899879,423.1855991832717,1.000381069232333,248
150000,300.00000000070435,-577130.1718186908,105780.20331438875,-471349.9685043021,299.3549140465161,424.5347874371252,0.9972018188436106,249
160000,320.00000000079984,-574853.6694554319,106396.01523848064,-468457.6542169512,301.097643969784,424.56129007363563,0.9971395699340885,250
170000,340.00000000089534,-575358.3971707886,106548.07217694353,-468810.3249938451,301.5279607050284,423.67278672205174,0.9992307163981748,249
180000,360.00000000099084,-575880.4307665429,106200.25281132426,-469680.17795521865,300.54364196639625,423.3557547802677,0.9999789950048382,249
190000,380.00000000108633,-577519.136493538,105384.49212062318,-472134.64437291486,298.23506282024397,422.63062084271263,1.0016947218602998,250
200000,400.00000000118183,-575495.1643557027,106223.30500486016,-469271.85935084254,300.6088790069606,422.0820595337378,1.0029965800070875,249
210000,420.00000000127733,-576110.8532632841,106229.78521499736,-469881.0680482867,300.6272178141083,423.99137391809586,0.9984798942547979,250
220000,440.0000000013728,-576635.8162693889,106145.04753749559,-470490.7687318933,300.38741263913,423.3155010155458,1.000074084646241,250
230000,460.0000000014683,-575713.1996794837,106483.86317197808,-469229.33650750556,301.34625107921767,423.9550924922828,0.9985653426309367,249
240000,480.0000000015638,-576232.7651098832,106261.66296221339,-469971.10214766976,300.71743091617134,424.21020540387843,0.9979648221608208,250
250000,500.0000000016593,-575011.2536318861,106300.3383029814,-468710.9153289047,300.82688101126064,423.13939860345994,1.0004902960866127,248
260000,520.0000000015274,-576224.7402783721,106420.033175249,-469804.7071031231,301.1656140357471,424.37014539586346,0.9975887012498911,249
270000,540.0000000010544,-575296.5765537173,107040.35594523055,-468256.2206084867,302.9211095223365,423.5233470890308,0.9995832935880468,249
280000,560.0000000005815,-576131.3087712587,106440.60532081415,-469690.7034504445,301.22383261232807,423.003287556548,1.0008122268744613,250
290000,580.0000000001086,-577592.6656809542,105787.3479983178,-471805.31768263644,299.3751332952645,423.43566681736326,0.9997902759979009,249
300000,599.9999999996356,-576164.4903778178,106937.85035726771,-469226.64002055005,302.63102167496584,423.42786351365436,0.9998087010186449,249
310000,619.9999999991627,-576967.2590637249,105367.68345200375,-471599.57561172114,298.18749477450245,420.9851723524722,1.0056099121710569,250
320000,639.9999999986898,-575600.7955311495,105323.22974228079,-470277.5657888687,298.06169206249956,424.18080506432506,0.9980339919683264,249
330000,659.9999999982168,-575011.8846283401,106877.41472036997,-468134.46990797017,302.4599905715835,424.85396639151304,0.9964526535797069,249
340000,679.9999999977439,-575865.7277239808,106181.15507302794,-469684.57265095285,300.48959591971595,423.5859409192372,0.999435583900562,249
350000,699.999999997271,-574331.8751468044,106694.50862413264,-467637.3665226718,301.9423716126279,424.0938491351056,0.9982386282141509,249
360000,719.999999996798,-575295.2446482056,105071.15960487747,-470224.0850433281,297.3483408686869,423.8980285061034,0.9986997667496615,249
370000,739.9999999963251,-575386.9885471105,105573.86534559896,-469813.1232015115,298.77098356636736,423.7155270404272,0.999129923681779,249
380000,759.9999999958521,-576634.0911727361,106220.45891015779,-470413.63226257835,300.60082464132034,423.44345070056727,0.999771897509052,249
390000,779.9999999953792,-575153.1468104827,106195.87972692284,-468957.2670835599,300.53126626409954,424.0129994226531,0.9984289697983947,249
400000,799.9999999949063,-576339.9033833058,106378.15196234966,-469961.7514209561,301.04709141530566,423.619850977255,0.9993555807596401,250
410000,819.9999999944333,-575564.7079885309,106418.41054707422,-469146.29744145664,301.1610220449721,424.4260058244604,0.997457404553528,249
420000,839.9999999939604,-576476.3957601958,107142.2774504479,-469334.1183097479,303.20954443244113,423.15065230101374,1.0004636880331064,249
430000,859.9999999934874,-574816.7940764534,106134.97436828492,-468681.8197081685,300.35890586178647,424.04995268841793,0.9983419630416803,249
440000,879.9999999930145,-575023.7182923355,105877.76365603751,-469145.954636298,299.6310069899359,423.90078789081485,0.9986932657075628,249
450000,899.9999999925416,-575964.0220875368,106095.22539760038,-469868.79668993637,300.24641742510477,423.3462184549698,1.000001520598718,250
460000,919.9999999920686,-576489.4253203622,106033.12927994144,-470456.29604042077,300.07068720922337,423.3563235190648,0.9999776516285399,250
470000,939.9999999915957,-576714.9718151679,106050.75208707165,-470664.2197280963,300.1205592433888,422.257820709564,1.0025790913316723,249
480000,959.9999999911228,-574731.915065167,105684.68893686892,-469047.2261282981,299.08461112236995,423.51409682868484,0.9996051261687621,250
490000,979.9999999906498,-577445.739710453,106454.04125186452,-470991.69845858845,301.26185590835786,425.1849726234434,0.9956769158199191,250
500000,999.9999999901769,-575802.3823968838,106446.45884300105,-469355.92355388275,301.24039791071306,422.52700124677705,1.001940375278954,249
510000,1019.999999989704,-576842.9589635995,106442.559337296,-470400.3996263035,301.22936242242145,423.45726331062895,0.9997392862857543,250
520000,1039.9999999892311,-575255.111644316,106110.89055402002,-469144.221090296,300.2907493644147,425.7258150915477,0.9944120069478303,250
530000,1059.9999999887582,-575360.6576743224,105945.16301726064,-469415.49465706176,299.82174523162536,423.85479053740124,0.9988016453888126,249
540000,1079.9999999882853,-576090.9188520606,106521.31494713319,-469569.6039049274,301.452238519033,426.40727136105204,0.9928228025835568,250
550000,1099.9999999878123,-575111.0546137234,105874.17878542608,-469236.87582829734,299.62086190985355,424.33716480776866,0.9976662364383511,250
560000,1119.9999999873394,-576135.2190170884,105831.36524711142,-470303.853769977,299.49970083546873,425.21348752159827,0.995610145534679,250
570000,1139.9999999868664,-574932.7458290635,106425.28240231914,-468507.46342674433,301.18046919644024,424.86856430395295,0.9964184168067151,250
580000,1159.9999999863935,-576585.9181637759,105392.57843979081,-471193.3397239851,298.25794686946614,424.0893412956865,0.998249238948729,250
590000,1179.9999999859206,-575818.3174125329,104999.97627817938,-470818.3411343535,297.14689411421324,423.5765648728303,0.9994577068299035,250
600000,1199.9999999854476,-574790.4272594075,104726.496504843,-470063.93075456447,296.37295427031586,424.16699562296185,0.9980664845762682,250
610000,1219.9999999849747,-575877.5600244133,106597.97028370638,-469279.5897407069,301.66917090309056,423.44670485471556,0.9997642143417717,250
620000,1239.9999999845018,-577741.9794510435,106430.82386725079,-471311.1555837927,301.196151381824,423.58576036811155,0.9994360099045417,250
630000,1259.9999999840288,-575440.6308561536,104873.00576979795,-470567.6250863556,296.78757125008525,423.3870763739716,0.9999050179338748,250
640000,1279.9999999835559,-574963.858331874,106336.31090828445,-468627.54742358957,300.92868244320266,425.35688035130437,0.9952745135920747,250
650000,1299.999999983083,-576193.1586909504,106639.53473800494,-469553.62395294546,301.78679710585885,424.06413771013746,0.9983085683233585,250
660000,1319.99999998261,-576759.1657198444,105730.44406230358,-471028.7216575408,299.2140968031733,424.0634012340932,0.9983103020979384,250
670000,1339.999999982137,-576719.2685608803,105762.56402113242,-470956.7045397479,299.3049953570909,423.8955249480575,0.9987056651436982,250
680000,1359.9999999816641,-576080.4741509715,105205.91257238842,-470874.5615785831,297.72968786692303,422.62149841203916,1.0017163437860432,250
690000,1379.9999999811912,-576545.9997861073,107166.73910221347,-469379.26068389387,303.27877019900495,423.87131814973003,0.9987627000634709,250
700000,1399.9999999807183,-575575.7952433238,106139.06994651529,-469436.7252968085,300.37049622965026,423.39601832925604,0.9998839003381204,250
710000,1419.9999999802453,-575055.2018789533,106102.95106047546,-468952.2508184778,300.2682808274566,424.24305044160354,0.9978875593931738,250
720000,1439.9999999797724,-575441.2319860873,106278.67654557322,-469162.55544051406,300.76557886469783,424.5809798356031,0.9970933280115513,250
