#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,4475.298657812811,1471.542797446251,5946.841455259062,559.1972126225016,421.875,0.0064235798507712915,0
10000,19.999999999999794,4568.743482031561,1523.7087886631489,6092.45227069471,579.0206774464968,421.875,0.0064235798507712915,837
15000,29.99999999999425,4450.162427344061,1517.3078038446838,5967.470231188745,576.5882555864353,421.875,0.0064235798507712915,837
20000,40.00000000000292,4538.402173437811,1437.1338777765632,5975.536051214374,546.1215671149209,421.875,0.0064235798507712915,839
25000,50.00000000001514,4488.286939062811,1567.192602775991,6055.479541838802,595.5448503677975,421.875,0.0064235798507712915,842
30000,60.00000000002736,4552.712720312811,1592.5208235383034,6145.2335438511145,605.1697627220641,421.875,0.0064235798507712915,842
35000,70.00000000001826,4533.297681250311,1693.206625290215,6226.504306540526,643.4311165800971,421.875,0.0064235798507712915,842
40000,79.99999999999496,4459.160474219061,1749.73257642705,6208.893050646111,664.9113986156649,421.875,0.0064235798507712915,842
45000,89.99999999997165,4530.888501562811,1351.7728069126606,5882.661308475472,513.6837250240186,421.875,0.0064235798507712915,841
50000,99.99999999994834,4484.754712500311,1369.6045022308826,5854.359214731194,520.459901928685,421.875,0.0064235798507712915,841
55000,109.99999999992504,4586.232251562811,1614.6873964332044,6200.919647996016,613.5932253612301,421.875,0.0064235798507712915,840
60000,119.99999999990173,4431.834790625311,1390.0148447565734,5821.849635381885,528.2159839596283,421.875,0.0064235798507712915,840
65000,129.99999999989262,4535.886548437811,1583.3847739174962,6119.271322355307,601.6979958857871,421.875,0.0064235798507712915,840
70000,139.99999999994037,4536.921704687811,1598.6761952117085,6135.59789989952,607.5088497594219,421.875,0.0064235798507712915,840
75000,149.99999999998812,4502.275220312811,1548.8444338850677,6051.119654197879,588.5724096624799,421.875,0.0064235798507712915,840
80000,160.00000000003587,4506.042310156561,1602.0271501410753,6108.069460297636,608.7822375666792,421.875,0.0064235798507712915,840
85000,170.00000000008362,4351.669751562811,1589.6836806870997,5941.353432249911,604.0916273277295,421.875,0.0064235798507712915,840
90000,180.00000000013137,4442.866040625311,1631.1505562663078,6074.016596891619,619.8493485984249,421.875,0.0064235798507712915,840
95000,190.0000000001791,4350.733228125311,1638.7001144886017,5989.433342613913,622.7182368983536,421.875,0.0064235798507712915,840
100000,200.00000000022686,4471.039868750311,1484.5798842981458,5955.619753048457,564.1514026337939,421.875,0.0064235798507712915,840
105000,210.0000000002746,4640.398755469061,1593.3763005696237,6233.775056038685,605.4948503594792,421.875,0.0064235798507712915,839
110000,220.00000000032236,4530.442700781561,1523.0107664670795,6053.453467248641,578.7554238180819,421.875,0.0064235798507712915,839
115000,230.0000000003701,4473.790845312811,1673.1312677934766,6146.922113106288,635.8023313527436,421.875,0.0064235798507712915,839
120000,240.00000000041786,4356.104321875311,1636.4547006245703,5992.559022499881,621.8649629221367,421.875,0.0064235798507712915,840
125000,250.0000000004656,4527.048657812811,1714.5341438427567,6241.582801655568,651.5357323258526,421.875,0.0064235798507712915,839
130000,260.00000000051335,4433.453442969061,1497.8582589961588,5931.31170196522,569.197283822008,421.875,0.0064235798507712915,840
135000,270.0000000005611,4554.389478125311,1608.8350538760424,6163.2245320013535,611.369291642852,421.875,0.0064235798507712915,840
140000,280.00000000060885,4418.145825781561,1535.188356852159,5953.33418263372,583.3829987765627,421.875,0.0064235798507712915,840
145000,290.0000000006566,4474.508618750311,1371.9662010744214,5846.474819824733,521.3573650623787,421.875,0.0064235798507712915,840
150000,300.00000000070435,4668.993970312811,1661.0319793969393,6330.02594970975,631.2045117325457,421.875,0.0064235798507712915,840
155000,310.0000000007521,4481.074048437811,1760.4738212665543,6241.547869704365,668.9931515791332,421.875,0.0064235798507712915,840
160000,320.00000000079984,4499.357739844061,1501.0116370394826,6000.369376883544,570.3955909424205,421.875,0.0064235798507712915,840
165000,330.0000000008476,4479.688306250311,1697.4437904823571,6177.132096732668,645.0412708814051,421.875,0.0064235798507712915,840
170000,340.00000000089534,4464.878247656561,1651.5059809843078,6116.384228640869,627.5845614538081,421.875,0.0064235798507712915,841
175000,350.0000000009431,4545.705884375311,1591.0539221167564,6136.759806492068,604.6123292668193,421.875,0.0064235798507712915,841
180000,360.00000000099084,4510.286939062811,1500.7504032701254,6011.0373423329365,570.2963201662523,421.875,0.0064235798507712915,843
185000,370.0000000010386,4375.523267187811,1595.5484394086525,5971.071706596464,606.3202792809634,421.875,0.0064235798507712915,844
190000,380.00000000108633,4734.766431250311,1550.3032893184572,6285.069720568768,589.1267855823555,421.875,0.0064235798507712915,844
195000,390.0000000011341,4494.789868750311,1486.339959925972,5981.129828676283,564.8202444689026,421.875,0.0064235798507712915,845
200000,400.00000000118183,4451.479321875311,1621.5949296578765,6073.074251533188,616.2181393848231,421.875,0.0064235798507712915,846
205000,410.0000000012296,4435.224927344061,1655.260671172291,6090.485598516352,629.0113716634906,421.875,0.0064235798507712915,847
