Radius (nanometer),g(r) (chain O - water O)
0.0025,0.0
0.0075,0.0
0.012499999,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.052500002,0.0
0.057499997,0.0
0.0625,0.0
0.067499995,0.0
0.072500005,0.0
0.0775,0.0
0.082499996,0.0
0.087500006,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.14750001,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.17750001,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.19749999,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.22749999,0.0
0.2325,0.0
0.2375,0.0
0.2425,8.826539196729767e-05
0.2475,0.0013133992123742198
0.2525,0.009932387447703668
0.2575,0.043681371354343294
0.2625,0.11351982003586925
0.26749998,0.22069817531136093
0.2725,0.34555676608479347
0.2775,0.44423354009726745
0.2825,0.5072488751022765
0.2875,0.5358208064626614
0.2925,0.5251524105748748
0.2975,0.5039517850155643
0.3025,0.47472619415863143
0.3075,0.44036522554159996
0.3125,0.4046476191504432
0.3175,0.36983690705703576
0.3225,0.34313577558056885
0.3275,0.32712341544255225
0.3325,0.3127130362235972
0.3375,0.29873136787234394
0.3425,0.2845415212630319
0.3475,0.2821510714757058
0.3525,0.2804284831717911
0.35750002,0.2818768245261368
0.3625,0.28424900240755346
0.3675,0.2928814210734918
0.3725,0.3021867671711374
0.3775,0.31725477638991934
0.3825,0.334737009722349
0.3875,0.34632472817968446
0.39249998,0.3645943710995323
0.3975,0.3920455070419499
0.4025,0.414373267329273
0.4075,0.4438883282616392
0.4125,0.4717216488408152
0.4175,0.4979515803116734
0.4225,0.5325978950046685
0.4275,0.5569557392758134
0.4325,0.5861222355501107
0.4375,0.6261981358641022
0.4425,0.6572463885925284
0.4475,0.6887553901153577
0.4525,0.719191559100654
0.4575,0.7390779756892136
0.4625,0.7621665629821555
0.4675,0.7719208792676852
0.4725,0.7781886789094195
0.4775,0.7789033030707546
0.48250002,0.7741554966043237
0.4875,0.7691830308904274
0.4925,0.7628893539492443
0.4975,0.7497497284287206
0.5025,0.7456039849280401
0.5075,0.7323767760285138
0.5125,0.7265816634489843
0.5175,0.7126900211192202
0.5225,0.7059397943681669
0.5275,0.6980112997726128
0.5325,0.6934150638982445
0.5375,0.6917939485126046
0.5425,0.6815584701900637
0.5475,0.6815853563177152
0.5525,0.6696948318621715
0.5575,0.6699797417356713
0.5625,0.6635913704412698
0.5675,0.6566730120707062
0.5725,0.6518328766133467
0.5775,0.6522893746169784
0.5825,0.6457775080695836
0.5875,0.6434022130908901
0.5925,0.6383430213518375
0.5975,0.6382151929374863
0.6025,0.6306903940574948
0.6075,0.6249578466352632
0.6125,0.6276145046481344
0.6175,0.6237959528296299
0.6225,0.6218393702323368
0.6275,0.620906024180762
0.6325,0.6240379891097372
0.6375,0.6240743939362644
0.6425,0.6291022134115163
0.6475,0.6295867232532165
0.6525,0.6339178849084197
0.6575,0.6418968559085011
0.6625,0.6499719167123326
0.6675,0.6581859900182896
0.6725,0.6622632897999077
0.6775,0.6730449153490998
0.6825,0.67708087573519
0.6875,0.6879686394692939
0.6925,0.6982430626100956
0.6975,0.7041416946925423
0.7025,0.7143048135482915
0.7075,0.7231936333823555
0.7125,0.7303375184507136
0.7175,0.7391887395517196
0.7225,0.7463929961954017
0.7275,0.7539008795813684
0.7325,0.7595992062970207
0.7375,0.7668763760148931
0.7425,0.7700907345324957
0.7475,0.7745557569877993
0.7525,0.7764103875947452
0.7575,0.7794563791102793
0.7625,0.7824322907661024
0.7675,0.7791585411265177
0.7725,0.7827339693930251
0.7775,0.7814910384407038
0.7825,0.78368869385306
0.7875,0.7829373162147796
0.7925,0.788171182026263
0.7975,0.7883782700015564
0.8025,0.7918368673148386
0.8075,0.7951914288742138
0.8125,0.7926430302626362
0.8175,0.7961302809303618
0.8225,0.7948226499115645
0.8275,0.7974602627125741
0.8325,0.801838795509832
0.8375,0.8051605359516213
0.8425,0.8042885063755711
0.8475,0.8058721689418415
0.8525,0.8099185949549942
0.8575,0.8098284833386241
0.8625,0.8162780963939779
0.8675,0.8163626544512137
0.8725,0.8176709334665809
0.8775,0.8164923252452438
0.8825,0.8217087620894381
0.8875,0.8204434555644476
0.8925,0.8263750675194438
0.8975,0.8249597395298108
0.9025,0.8282095927766898
0.9075,0.8312409034869257
0.9125,0.8274581689248692
0.9175,0.8323561484031327
0.9225,0.8319361015689837
0.9275,0.8344169499569655
0.9325,0.8390999868113673
0.9375,0.8388472162727265
0.9425,0.8433475264334506
0.9475,0.8400272761471395
0.9525,0.8424928098624764
0.9575,0.8454691735683486
0.9625,0.8498076780810795
0.9675,0.8464861027197924
0.9725,0.8496255934599645
0.9775,0.8486534502274206
0.9825,0.8542419522526735
