Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,6.329867442438077e-05,0.0
0.2425,0.0031571938400093446,0.0
0.2475,0.03899407827981981,0.0
0.2525,0.2222707862049413,5.60017098022024e-05
0.2575,0.6092362355790963,0.00010769599356179888
0.2625,1.0870010865217863,0.0012954060045306825
0.26749998,1.4587427675953186,0.015817392075516197
0.2725,1.558565151877283,0.07145146590021727
0.2775,1.4040579203015824,0.19232653898061436
0.2825,1.1534251159880688,0.3324133513747082
0.2875,0.8778436537064427,0.44933223530432126
0.2925,0.6447271575476285,0.49386375703402396
0.2975,0.48482372985842037,0.47441563181353164
0.3025,0.3523033417028768,0.4210549740077244
0.3075,0.276860057264698,0.36846705384464307
0.3125,0.2277805655424338,0.3220736760615248
0.3175,0.18903371670759966,0.27938878721932664
0.3225,0.17374228153143428,0.2539363083359058
0.3275,0.1647486857070557,0.23528868672003833
0.3325,0.16603293431775945,0.2195471479268875
0.3375,0.16262318238201512,0.21171105894528336
0.3425,0.17090633121733548,0.21056634004657646
0.3475,0.18204962211402473,0.20877901278985359
0.3525,0.19235286722580414,0.21410535011943033
0.35750002,0.20452503521286994,0.2205886734108484
0.3625,0.20894962544051696,0.22218219599832342
0.3675,0.22577387479930688,0.22944864863971715
0.3725,0.23635143726614113,0.24445712074342305
0.3775,0.2514537630674741,0.26074923398198513
0.3825,0.26400749522111017,0.275233548817127
0.3875,0.27195710766544806,0.2966631874822182
0.39249998,0.28205941615207336,0.32027765585912094
0.3975,0.3009066047969454,0.3402712267221691
0.4025,0.3168605689765889,0.36219563125556525
0.4075,0.3248297378485718,0.3755097995490473
0.4125,0.33708480022295356,0.39558781460427794
0.4175,0.34542534235246986,0.399073505290329
0.4225,0.355377869954267,0.4055232135674458
0.4275,0.3683537851624207,0.4077211807868122
0.4325,0.37746538229218807,0.41609951295005854
0.4375,0.3820938677614347,0.42057747119803285
0.4425,0.390302693749208,0.4205910872418932
0.4475,0.39368360026371496,0.4302883299440323
