#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,1800.3687434052335,3132.191606428474,4932.560349833708,604.6806756825232,421.875,0.01203377090011333,0
10000,19.999999999999794,1869.8951105927335,3160.5511789284647,5030.446289521198,610.1555915293591,421.875,0.01203377090011333,812
15000,29.99999999999425,1814.0669855927335,3184.2935186764225,4998.360504269156,614.7391342512072,421.875,0.01203377090011333,812
20000,40.00000000000292,1865.5835871552335,3026.3116682469845,4891.895255402218,584.2401788657238,421.875,0.01203377090011333,813
25000,50.00000000001514,1798.9419855927335,3172.314446363598,4971.256431956332,612.4265319425548,421.875,0.01203377090011333,812
30000,60.00000000002736,1900.7486262177335,3240.652010217309,5141.4006364350425,625.6193405181061,421.875,0.01203377090011333,812
35000,70.00000000001826,1644.3160090302335,3182.156551361084,4826.4725603913175,614.3265851474109,421.875,0.01203377090011333,812
40000,79.99999999999496,1686.1499934052335,3158.3372784722596,4844.487271877493,609.7281902104218,421.875,0.01203377090011333,813
45000,89.99999999997165,1645.8785090302335,2789.9398854076862,4435.81839443792,538.6077695756271,421.875,0.01203377090011333,813
50000,99.99999999994834,2009.8638605927335,3109.5237269103527,5119.387587503086,600.3045613109834,421.875,0.01203377090011333,814
55000,109.99999999992504,1797.6187434052335,3071.61844734475,4869.237190749984,592.9868129291087,421.875,0.01203377090011333,814
60000,119.99999999990173,1569.5855402802335,3258.9987067701295,4828.584247050363,629.1612352238236,421.875,0.01203377090011333,814
65000,129.99999999989262,1792.7691340302335,3270.1553686331026,5062.924502663336,631.3150682842972,421.875,0.01203377090011333,814
70000,139.99999999994037,2011.7144465302335,3104.893995668739,5116.608442198973,599.410775308345,421.875,0.01203377090011333,814
75000,149.99999999998812,1853.5835871552335,2950.1942430511117,4803.777830206345,569.5454405220702,421.875,0.01203377090011333,814
80000,160.00000000003587,1546.5757746552335,3066.375851718709,4612.951626373942,591.9747112878877,421.875,0.01203377090011333,815
85000,170.00000000008362,1615.8980402802335,3193.922346966341,4809.820387246575,616.5980136327972,421.875,0.01203377090011333,815
90000,180.00000000013137,1750.8609309052335,3062.6744331270456,4813.535364032279,591.2601393279868,421.875,0.01203377090011333,815
95000,190.0000000001791,1619.7066340302335,3278.558911256492,4898.265545286726,632.9374019311945,421.875,0.01203377090011333,816
100000,200.00000000022686,1771.3609309052335,2995.2426747754216,4766.603605680655,578.2421997106163,421.875,0.01203377090011333,816
105000,210.0000000002746,1618.0621027802335,3201.611207474023,4819.673310254257,618.0823753677153,421.875,0.01203377090011333,816
110000,220.00000000032236,1657.2115168427335,3344.5108478069305,5001.722364649664,645.6696567121732,421.875,0.01203377090011333,816
115000,230.0000000003701,1451.0562434052335,3095.4314655316994,4546.487708936933,597.584000373763,421.875,0.01203377090011333,816
120000,240.00000000041786,1701.6109309052335,3118.4326917007565,4820.04362260599,602.0244684961112,421.875,0.01203377090011333,816
125000,250.0000000004656,1585.3150324677335,3170.7914169356227,4756.106449403356,612.1325057208821,421.875,0.01203377090011333,816
130000,260.00000000051335,1802.1578059052335,2980.0839263014495,4782.241732206683,575.3157496649261,421.875,0.01203377090011333,816
135000,270.0000000005611,1650.4312434052335,3001.016184940934,4651.447428346168,579.3567962827982,421.875,0.01203377090011333,816
140000,280.00000000060885,1764.5572199677335,3132.3016584143043,4896.858878382038,604.701921607905,421.875,0.01203377090011333,816
145000,290.0000000006566,1697.5679621552335,3124.829023680184,4822.396985835418,603.2593030238814,421.875,0.01203377090011333,816
150000,300.00000000070435,1906.1099543427335,3031.5117687620223,4937.621723104756,585.2440766753587,421.875,0.01203377090011333,816
155000,310.0000000007521,1717.9703059052335,3101.624682314694,4819.5949882199275,598.7796227939572,421.875,0.01203377090011333,816
160000,320.00000000079984,1349.5640559052335,3071.3325469084084,4420.896602813642,592.9316188379586,421.875,0.01203377090011333,817
165000,330.0000000008476,1495.6519465302335,3096.4747398057953,4592.126686336029,597.7854081649364,421.875,0.01203377090011333,817
170000,340.00000000089534,1425.1275324677335,3047.7376520335674,4472.865184501301,588.3765408707311,421.875,0.01203377090011333,817
175000,350.0000000009431,1655.6538996552335,3139.0611138492823,4794.715013504516,606.0068584040064,421.875,0.01203377090011333,817
180000,360.00000000099084,1592.3042902802335,3132.6633761301637,4724.967666410397,604.7717524932134,421.875,0.01203377090011333,817
185000,370.0000000010386,1458.5884699677335,2970.1124301161617,4428.700900083895,573.3907170332984,421.875,0.01203377090011333,817
190000,380.00000000108633,1590.1460871552335,3139.2862885445356,4729.432375699769,606.0503291759072,421.875,0.01203377090011333,815
195000,390.0000000011341,1691.6050715302335,3176.446913458407,4868.0519849886405,613.2243193416385,421.875,0.01203377090011333,812
200000,400.00000000118183,1485.9205012177335,3146.923625446856,4632.84412666459,607.5247440964478,421.875,0.01203377090011333,812
205000,410.0000000012296,1388.5953059052335,2853.763416878879,4242.358722784113,550.9291282227923,421.875,0.01203377090011333,812
210000,420.00000000127733,1667.0347590302335,3177.2894233986735,4844.324182428907,613.386968867582,421.875,0.01203377090011333,812
215000,430.0000000013251,1381.6831965302335,3249.185119431466,4630.868315961699,627.2666874539382,421.875,0.01203377090011333,811
220000,440.0000000013728,1737.9878840302335,3165.2341581415385,4903.222042171772,611.0596572413534,421.875,0.01203377090011333,812
225000,450.0000000014206,1492.4175715302335,3140.765269584954,4633.182841115187,606.3358517004572,421.875,0.01203377090011333,813
230000,460.0000000014683,1562.4244074677335,3214.9870660305023,4777.411473498236,620.6646322044828,421.875,0.01203377090011333,814
235000,470.00000000151607,1515.3990168427335,2857.344965558499,4372.743982401233,551.6205588719063,421.875,0.01203377090011333,815
240000,480.0000000015638,1467.7242121552335,3151.5358034297824,4619.260015585016,608.4151413803687,421.875,0.01203377090011333,816
245000,490.00000000161157,1722.7359309052335,3253.690417781472,4976.426348686706,628.1364512464348,421.875,0.01203377090011333,817
