#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
250,0.5000000000000003,-672513.2510436289,42273.24376146194,-630240.007282167,118.77546564701805,422.7691953312024,1.0069647132405657,0
500,1.0000000000000007,-645722.0477628773,66828.47545430175,-578893.5723085755,187.76849336083453,427.0183393196204,0.9969446797576185,45.7
750,1.500000000000001,-628125.5477628773,80859.09535786253,-547266.4524050148,227.19043651157511,427.0183393196204,0.9969446797576185,45.5
1000,2.0000000000000013,-615519.5477628773,89317.72621399554,-526201.8215488817,250.9567181894751,427.0183393196204,0.9969446797576185,28.4
1250,2.4999999999999463,-606265.3703600024,94720.73691196577,-511544.6334480366,266.1375998641451,426.85459593827545,0.9973271123106018,31.2
1500,2.999999999999891,-598631.9761764784,98195.46240106528,-500436.51377541316,275.9005634136705,426.8696035165341,0.9972920489925202,33.4
1750,3.499999999999836,-593788.8843720537,100293.3940431216,-493495.49032893206,281.79513845709357,426.56710309260234,0.9979992794972093,34.7
2000,3.999999999999781,-590491.3843720537,102126.66221907252,-488364.72215298115,286.94608647714915,426.56710309260234,0.9979992794972093,30.3
2250,4.499999999999726,-588139.3843720537,103684.21243385301,-484455.17193820066,291.32234757206464,426.56710309260234,0.9979992794972093,31.6
2500,4.999999999999671,-585065.3843720537,104519.73119849701,-480545.65317355667,293.6699112198272,426.56710309260234,0.9979992794972093,28.8
2750,5.499999999999616,-583035.6343720537,105655.8592332959,-477379.7751387578,296.8620990994545,426.56710309260234,0.9979992794972093,29.8
3000,5.999999999999561,-582064.3843720537,105996.28650447598,-476068.0978675777,297.81860028212975,426.56710309260234,0.9979992794972093,30.8
3250,6.499999999999506,-581401.0469729537,106303.11792430028,-475097.92904865346,298.68070693688315,426.4722658684333,0.9982212106495143,31.6
3500,6.999999999999451,-581018.2969729537,106777.62344649422,-474240.6735264595,300.013928836501,426.4722658684333,0.9982212106495143,29.9
3750,7.499999999999396,-578688.2969729537,105701.2487694181,-472987.0482035356,296.9896304362698,426.4722658684333,0.9982212106495143,30.6
4000,7.999999999999341,-578949.0469729537,106764.4031052647,-472184.643867689,299.97678353971685,426.4722658684333,0.9982212106495143,31.3
4250,8.499999999999508,-578567.5469729537,106921.71135101997,-471645.83562193374,300.41877375568254,426.4722658684333,0.9982212106495143,29.6
4500,8.999999999999675,-578753.5861810534,107106.20666315258,-471647.3795179009,300.9371516859851,426.07894307914586,0.9991426904768468,30.1
4750,9.499999999999842,-579572.0861810534,107231.39591520152,-472340.6902658519,301.288896912588,426.07894307914586,0.9991426904768468,30.7
5000,10.000000000000009,-578623.0861810534,106166.83946548973,-472456.2467155637,298.2978042787806,426.07894307914586,0.9991426904768468,29.5
5250,10.500000000000176,-579954.5861810534,107199.59068481825,-472754.9954962352,301.19953350650303,426.07894307914586,0.9991426904768468,30
5500,11.000000000000343,-579496.0861810534,107344.36955324642,-472151.716627807,301.6063198323984,426.07894307914586,0.9991426904768468,30.5
5750,11.50000000000051,-579385.3170845807,107037.39525346737,-472347.9218311133,300.7438117267119,426.8861640819278,0.9972533601766636,29.4
6000,12.000000000000677,-580260.3170845807,106536.67158085748,-473723.6455037232,299.3369244835583,426.8861640819278,0.9972533601766636,29.9
6250,12.500000000000844,-580178.0670845807,106828.16907713097,-473349.8980074497,300.1559472926474,426.8861640819278,0.9972533601766636,30.3
6500,13.00000000000101,-579484.8170845807,106220.7181580558,-473264.09892652486,298.4491876652578,426.8861640819278,0.9972533601766636,29.4
6750,13.500000000001178,-579607.8170845807,106905.79853672505,-472702.0185478556,300.3740633961393,426.8861640819278,0.9972533601766636,29.8
7000,14.000000000001345,-580149.0860266341,107014.61529842654,-473134.47072820755,300.67980670777695,426.28647023533495,0.9986562822615747,30.1
7250,14.500000000001512,-580545.8360266341,107016.87129997378,-473528.9647266603,300.6861454130768,426.28647023533495,0.9986562822615747,29.4
7500,15.000000000001679,-579505.2727249716,106601.83753546292,-472903.4351895087,299.52002177900755,426.05959840993654,0.9991880552213853,29.8
7750,15.500000000001846,-580107.2727249716,107855.29808218422,-472251.9746427874,303.0418797406791,426.05959840993654,0.9991880552213853,29.1
8000,16.00000000000201,-578776.2727249716,106824.23941489076,-471952.0333100809,300.1449060897284,426.05959840993654,0.9991880552213853,29.5
8250,16.500000000001734,-578993.7727249716,106464.18781729121,-472529.5849076804,299.13326628268743,426.05959840993654,0.9991880552213853,29.8
8500,17.000000000001457,-579570.3301043077,106386.28156760754,-473184.0485367002,298.91437247990274,426.0536485060901,0.9992020090341832,30.1
8750,17.50000000000118,-580342.4953814158,107279.00956250692,-473063.4858189089,301.42267735209634,425.9069450717687,0.9995461836666995,29.5
9000,18.000000000000902,-579533.7453814158,106467.98178561439,-473065.7635958014,299.14392622534,425.9069450717687,0.9995461836666995,29.8
9250,18.500000000000625,-579593.7453814158,106468.86066558503,-473124.8847158308,299.14639562130947,425.9069450717687,0.9995461836666995,30.1
9500,19.000000000000348,-579321.6071955804,106330.17028651579,-472991.4369090646,298.7567161718765,425.76587879276354,0.9998773568955723,29.4
9750,19.50000000000007,-579321.1071955804,106887.94691365195,-472433.16028192843,300.32390555031543,425.76587879276354,0.9998773568955723,29.6
10000,19.999999999999794,-580363.5617922721,107074.57445548114,-473288.987336791,300.8482744231751,424.9953321118356,1.001690205462314,29.9
10250,20.499999999999517,-579587.1191405575,106760.09320206894,-472827.02593848854,299.96467397079283,424.57711401810104,1.002676893049585,29.3
10500,20.99999999999924,-580293.1191405575,106640.28980077768,-473652.8293397798,299.6280614114454,424.57711401810104,1.002676893049585,29.5
10750,21.499999999998963,-581445.1191405575,106889.80742829916,-474555.3117122583,300.3291330529602,424.57711401810104,1.002676893049585,29.8
11000,21.999999999998685,-580292.6191405575,106813.51890693663,-473479.10023362085,300.1147845941694,424.57711401810104,1.002676893049585,29.3
11250,22.49999999999841,-579001.9616441419,106391.72036896273,-472610.2412751792,298.9296539228686,425.00566547070036,1.0016658509061156,29.6
11500,22.99999999999813,-579780.3926799889,106651.42022472157,-473128.9724552673,299.65933465118644,425.2709049843816,1.0010411165072852,29.8
11750,23.499999999997854,-580671.7163560977,107250.53779264935,-473421.17856344837,301.3426799962816,425.23746795959363,1.0011198297890358,29.4
12000,23.999999999997577,-579802.0883951494,107199.88384916203,-472602.2045459874,301.2003572126667,424.9925872915784,1.001696674891781,29.6
12250,24.4999999999973,-579434.0883951494,107945.38517850323,-471488.7032166462,303.29499816410686,424.9925872915784,1.001696674891781,29.1
12500,24.999999999997023,-578566.2634786386,107351.24146383331,-471215.0220148053,301.62562789364983,425.1551444569805,1.001313678298217,29.3
12750,25.499999999996746,-579548.7634786386,107486.01662273554,-472062.74685590307,302.0043067181704,425.1551444569805,1.001313678298217,29.5
13000,25.99999999999647,-580080.380268387,107594.63946175436,-472485.7408066327,302.3095051637206,424.65321321834915,1.0024972101759055,29.7
13250,26.49999999999619,-580855.880268387,107295.57732808184,-473560.3029403052,301.4692279334048,424.65321321834915,1.0024972101759055,29.3
13500,26.999999999995914,-579973.880268387,107122.99141945763,-472850.88884892943,300.98431194785553,424.65321321834915,1.0024972101759055,29.5
13750,27.499999999995637,-579799.130268387,107160.57155507483,-472638.5587133122,301.0899011506193,424.65321321834915,1.0024972101759055,29.7
