#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,19.999999999999794,-580508.942813722,107399.9130354356,-473109.02977828635,301.76238079138,425.8346884576709,0.9997157889732274,0
20000,40.00000000000292,-579715.6081853285,106059.48052655978,-473656.1276587688,297.9961570232558,427.58569401601244,0.9956218542889012,202
30000,60.00000000002736,-580100.6251351209,106607.08921010979,-473493.53592501115,299.53477745058854,427.3229857360868,0.9962339395581876,224
40000,79.99999999999496,-579151.174392764,108048.15636954142,-471103.01802322257,303.583755188279,427.3700085327253,0.9961243256287848,231
50000,99.99999999994834,-580081.8184078825,106963.10641445155,-473118.7119934309,300.53508179114624,427.74656860209916,0.9952474030005342,236
60000,119.99999999990173,-579860.5900010732,106885.40801796762,-472975.1819831056,300.31677199513246,425.0182173692575,1.0016362690961251,231
70000,139.99999999994037,-580925.7146700737,106265.71472146618,-474659.9999486075,298.57561486355235,423.2584504197892,1.0058007374014735,234
80000,160.00000000003587,-581324.143002891,106627.64370472252,-474696.49929816846,299.59252957584636,425.34836979720774,1.0008588060337351,236
90000,180.00000000013137,-579861.6724660564,107041.55928772665,-472820.1131783298,300.7555114465372,426.27749748467994,0.9986773030610858,232
100000,200.00000000022686,-579950.9440124654,107351.21306340932,-472599.7309490561,301.6255480967551,424.98169030316205,1.001722359473757,234
110000,220.00000000032236,-580127.7655719887,107166.32209029741,-472961.44348169124,301.1060584746855,427.0477351494808,0.9968760550728953,236
120000,240.00000000041786,-580135.289118282,108200.63246501313,-471934.6566532689,304.0121684735684,426.3172933627401,0.9985840785055897,233
130000,260.00000000051335,-580081.9451832059,105998.03806143801,-474083.9071217679,297.82352164550906,425.7308821329085,0.9999595505282745,234
140000,280.00000000060885,-579583.7820181889,107576.58835890511,-472007.19365928374,302.25878683799993,426.36994756221384,0.9984607592013995,236
150000,300.00000000070435,-580086.2942271032,107748.33026955015,-472337.9639575531,302.7413314357857,425.07454289430603,1.001503544872321,233
160000,320.00000000079984,-580160.2326059472,106216.01965225465,-473944.21295369253,298.4359862365355,425.3391095474063,1.0008805961827052,235
170000,340.00000000089534,-580083.8466951544,106415.75939653645,-473668.087298618,298.99719656780695,424.1422263373902,1.0037049723150857,235
180000,360.00000000099084,-580132.2726080441,106777.63515925911,-473354.637448785,300.0139617459487,425.43834389512034,1.0006471387745355,234
190000,380.00000000108633,-579091.3332960419,106231.30541423126,-472860.0278818107,298.4789347622457,426.5724121435222,0.9979868585603603,235
200000,400.00000000118183,-579309.0409842771,106364.68237358602,-472944.35861069115,298.85368505449526,426.9669701546311,0.9970646239671698,235
210000,420.00000000127733,-580034.4317784384,106799.97778323025,-473234.45399520814,300.0767379923358,427.1346150891392,0.9966732887120056,234
220000,440.0000000013728,-581826.8824141463,106608.43913705781,-475218.4432770885,299.53857035095706,426.1778764964603,0.998910748355481,235
230000,460.0000000014683,-579876.2680292143,106780.82304332952,-473095.4449858848,300.02291876890695,426.34543999016836,0.9985181536207967,235
240000,480.0000000015638,-579352.8853115402,107518.27174686821,-471834.613564672,302.0949341942633,425.58182964992045,1.0003097686144564,234
250000,500.0000000016593,-580539.4398516463,106628.85963757196,-473910.58021407435,299.59594599194173,426.6393057235344,0.9978303823218172,235
260000,520.0000000015274,-580379.2969866474,107380.72168593577,-472998.5753007117,301.70845870567257,424.1473346652572,1.0036928839352675,235
270000,540.0000000010544,-580051.739645001,106793.71608938371,-473258.0235556173,300.0591444618615,425.18342126245915,1.00124708597432,234
280000,560.0000000005815,-579828.4837805387,107249.14758136531,-472579.33619917335,301.3387739086972,426.81677339807084,0.9974154908541679,235
290000,580.0000000001086,-579056.1726472429,106016.28204947733,-473039.89059776557,297.8747819222661,427.4223643057438,0.9960023084779612,235
300000,599.9999999996356,-580554.2939516492,106837.51021585445,-473716.7837357948,300.1821931636247,425.6947752127673,1.000044365897731,235
310000,619.9999999991627,-581351.6170055638,106770.78769523138,-474580.8293103324,299.99472237238695,424.6288278038542,1.0025547811847477,235
320000,639.9999999986898,-579535.0167483347,106777.88385776093,-472757.1328905738,300.0146605160863,424.176135844568,1.0036247340883513,236
330000,659.9999999982168,-580587.5317501337,107194.2897386942,-473393.2420114395,301.1846393964649,425.30819667044136,1.0009533436608131,235
340000,679.9999999977439,-579923.1134403525,106588.4459385096,-473334.6675018429,299.4823953036686,424.9900032207217,1.0017027655178314,235
350000,699.999999997271,-580113.3503530561,106747.88480585802,-473365.4655471981,299.9303719438905,427.56040355770625,0.9956807459280359,234
360000,719.999999996798,-579823.3739027088,107473.61701039302,-472349.75689231575,301.9694674297984,426.41233324656514,0.9983615115031577,235
370000,739.9999999963251,-580446.447634933,107439.42173174035,-473007.0259031927,301.87338868628353,426.768508065137,0.9975282934387769,235
380000,759.9999999958521,-578439.583656908,106603.80063815974,-471835.7830187483,299.52553752410256,426.4684545640347,0.9982301316490634,236
390000,779.9999999953792,-580699.9652790944,106777.32287998765,-473922.64239910676,300.01308433242235,425.9359716295834,0.9994780668908901,235
400000,799.9999999949063,-579781.9188562585,106770.17462189659,-473011.7442343619,299.99299981541384,426.9536542646647,0.9970957205573722,235
