#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
250,0.5000000000000003,-673585.9374236017,42603.34583281656,-630982.5915907852,119.70295603449414,421.875,1.0090990495848984,0
500,1.0000000000000007,-646202.4042922147,66988.84327844623,-579213.5610137684,188.21908009827638,422.7443403001962,1.0070239172009356,39.1
750,1.500000000000001,-627996.1704430562,80447.89875194887,-547548.2716911073,226.03509417221122,426.4240972010885,0.9983339692523885,41.2
1000,2.0000000000000013,-615006.4538367596,89421.63408024597,-525584.8197565136,251.24866893893554,426.8365195520894,0.9973693487857163,32.1
1250,2.4999999999999463,-605117.2038367596,94198.05343511148,-510919.1504016481,264.6690119862031,426.8365195520894,0.9973693487857163,34.9
1500,2.999999999999891,-598476.4279834568,98920.00766383123,-499556.4203196255,277.93632393994983,427.3080643086726,0.9962687276505696,36.7
1750,3.499999999999836,-592635.4279834568,101016.94187176815,-491618.4861116886,283.8280964848787,427.3080643086726,0.9962687276505696,38.2
2000,3.999999999999781,-588320.1779834568,101734.32251331769,-486585.85547013907,285.8437265185475,427.3080643086726,0.9962687276505696,34.3
2250,4.499999999999726,-585806.4279834568,103302.54932755705,-482503.8786558997,290.24998573897733,427.3080643086726,0.9962687276505696,35.4
2500,4.999999999999671,-583963.8063765396,103644.65269661578,-480319.15367992385,291.21119626705155,427.34682800221185,0.9961783582992351,33.2
2750,5.499999999999616,-582637.0563765396,103812.37267276054,-478824.6837037791,291.682440403823,427.34682800221185,0.9961783582992351,34.4
3000,5.999999999999561,-582991.3063765396,105248.79537251343,-477742.5110040262,295.7183685666065,427.34682800221185,0.9961783582992351,35.5
3250,6.499999999999506,-581715.8063765396,105323.90809701546,-476391.8982795242,295.929413379706,427.34682800221185,0.9961783582992351,36.3
3500,6.999999999999451,-580176.3063765396,105663.1205410072,-474513.18583553244,296.88250125287055,427.34682800221185,0.9961783582992351,34.7
3750,7.499999999999396,-580095.8063765396,106656.72359433174,-473439.0827822079,299.6742355705126,427.34682800221185,0.9961783582992351,35.6
4000,7.999999999999341,-580426.5469071651,106744.58783154842,-473681.9590756167,299.92110840922874,426.3330755539393,0.9985471124671584,36.3
4250,8.499999999999508,-579785.0469071651,105670.35706205899,-474114.6898451061,296.90283376301437,426.3330755539393,0.9985471124671584,35.3
4500,8.999999999999675,-581003.0469071651,105868.28780611302,-475134.75910105207,297.4589613321107,426.3330755539393,0.9985471124671584,36
4750,9.499999999999842,-580716.2969071651,106079.69900396821,-474636.5979031969,298.05296503833057,426.3330755539393,0.9985471124671584,36.6
5000,10.000000000000009,-580575.7969071651,106000.44468545477,-474575.3522217103,297.83028355594683,426.3330755539393,0.9985471124671584,35.4
5250,10.500000000000176,-580276.0469071651,106291.4967234582,-473984.5501837069,298.6480547574293,426.3330755539393,0.9985471124671584,36
5500,11.000000000000343,-580535.0469071651,106381.9546679887,-474153.0922391764,298.90221515599507,426.3330755539393,0.9985471124671584,36.5
