Sample Time (ns),"Radius of Gyration (Rg, nm)","Solvent Accessible Surface Area (SASA, nm**2)","Relative Shape Anisotropy (K2, dimensionless)"
0.02,1.035981119116588,29.321306,0.320546897382724
0.04,1.0135907778319064,28.991491,0.29477074884280563
0.06,1.0174669553245537,28.919819,0.29889556850782395
0.08,1.035083101154449,30.01925,0.3312019880696955
0.09999999999999999,1.0069801646979104,29.196796,0.28341507702164437
0.12,1.0034666991226489,29.008913,0.2767064464824529
0.13999999999999999,1.0007859046325855,29.714317,0.2678275774508545
0.16,1.0166048559837415,29.332733,0.2898798131214021
0.18,1.020250367733657,29.988304,0.26848316196321487
0.19999999999999998,0.9818631356160998,29.17666,0.22610394986207438
0.22,0.994384107217849,29.0869,0.24830551298291603
0.24,0.9960344716404504,29.0507,0.24479308026325053
0.26,1.0211259272393416,29.73121,0.29448772259508316
0.27999999999999997,1.0033884690978683,28.799276,0.2851869221596859
0.3,1.0116253019197896,28.745348,0.3053146316182388
0.32,1.0333673211406458,29.147295,0.3190176380679641
0.33999999999999997,1.0547475183957962,29.669703,0.31724774602801065
0.36,1.0180664793696912,29.518206,0.2758371134425712
0.38,1.022533357269392,30.711067,0.25999647532566394
0.39999999999999997,1.0059546844446798,29.711384,0.2653486266785925
0.42,0.9832123873786135,28.947016,0.25604826620724175
0.44,1.0036979698354924,28.854565,0.26415943400413633
0.45999999999999996,1.0154464141497739,29.434032,0.2891089909234674
0.48,1.0133112704347969,29.349894,0.2624132483791952
0.5,1.0049989250260145,28.989922,0.26377046637673085
0.52,1.0458552373807215,30.023092,0.32050432365143744
0.5399999999999999,1.0306098531660157,29.38159,0.3047634194430001
0.5599999999999999,1.0340836415791306,30.458036,0.29026415527520044
0.58,1.031762496494983,30.773201,0.2938930227745832
0.6,1.0514100086965135,30.23731,0.3405670527957172
0.62,1.0378647141363249,29.940535,0.3128178944569554
0.64,1.1018237881203408,30.736189,0.3799032266361524
0.6599999999999999,1.0508718629155376,29.9613,0.32897405394792945
0.6799999999999999,1.0600466707119858,30.516964,0.34802648685192206
0.7,1.048877102837557,30.679132,0.2991448032536399
0.72,1.04738947760975,31.134783,0.3014858113916956
0.74,1.0708506257787203,30.426474,0.3511261445759698
0.76,1.0574435819145334,30.728458,0.32262611603311875
0.7799999999999999,1.0558373929681706,30.405254,0.3363048812261167
0.7999999999999999,1.046431894158558,30.895384,0.30571321278260166
0.82,1.0747249523187488,31.323627,0.3365381235732827
0.84,1.0767305589609988,31.793789,0.33097818823985303
0.86,1.081869165083242,31.61916,0.33753248637524436
0.88,1.0474249463197238,31.99608,0.29779590638096953
0.8999999999999999,1.0279962622613903,30.845543,0.280452728685502
0.9199999999999999,1.0433518922246123,30.42449,0.3112215844548556
0.94,1.0954452031860964,30.613058,0.36343865873484904
0.96,1.0660984517228695,30.82404,0.33872610429532457
0.98,1.062505209163733,31.211964,0.3057856035469714
1.0,1.0093597357208635,30.061989,0.2737252148856665
1.02,1.0095847007136542,29.566189,0.2801470409607858
1.04,0.9942099763623642,29.338593,0.2515858732598777
1.06,0.9886948440340008,29.781607,0.23441968679819136
1.0799999999999998,0.9988608710932425,29.66733,0.25018623534589024
1.0999999999999999,0.9952010085997784,30.116297,0.2498080186219006
1.1199999999999999,1.0001913457509808,29.558788,0.2596347445221474
1.14,1.0067125230606702,29.787037,0.2596325415591133
1.16,1.0014124978810348,29.342196,0.2763304472656172
1.18,0.9875272719179857,29.08476,0.27156849093025026
1.2,1.0048936271226812,29.383366,0.26713452894538625
1.22,1.0146492755464065,29.69263,0.269009232529277
1.24,1.0036010329519813,29.820314,0.2477972252228431
1.26,1.0278782202238577,30.84756,0.2887027413597092
1.28,0.9947622217331089,30.103382,0.24722911957052152
1.3,1.013454517982081,30.47002,0.25282906266454175
1.3199999999999998,1.01052812852064,31.378258,0.23662782324111487
1.3399999999999999,1.0508097414505504,31.18616,0.2790758603033642
1.3599999999999999,1.007826180346198,30.464586,0.23101283473226653
1.38,1.015545904949818,30.74788,0.22814373101628338
1.4,1.0449178087821507,30.699772,0.28811580800693937
1.42,1.0483039666850815,30.364243,0.2891385138335083
1.44,1.0601678433094477,30.02943,0.3233922041872618
1.46,1.048908994320837,30.460384,0.28574431727369276
1.48,1.0656207995864069,30.304466,0.31246374723385106
1.5,1.0788116372364047,30.412483,0.33488420639062977
1.52,1.0724503020805982,31.340454,0.3024112378380266
1.54,1.0372662564165578,30.704075,0.2671747560333626
1.5599999999999998,1.0553183391854817,30.350437,0.2831192123930478
1.5799999999999998,1.0580886513826038,30.403234,0.3039061233922872
1.5999999999999999,1.0676621865333968,30.068983,0.32661877515149074
1.6199999999999999,1.0890275662340017,29.83836,0.35826782504167165
1.64,1.061630175523138,30.028128,0.3201771541566838
1.66,1.080057417664654,29.659513,0.37194794968048106
1.68,1.0430715690019132,29.563417,0.30459139599946217
1.7,1.0395489116177188,30.51282,0.28309193668461374
1.72,0.9922504741221252,28.616976,0.2350967621457164
1.74,1.0156699376771492,29.42802,0.2625070287246314
1.76,1.004426694103997,28.993723,0.25717519905645214
1.78,0.9877254590223615,29.121893,0.23932774117360633
1.7999999999999998,0.9699694420067175,28.861055,0.20132820969087983
1.8199999999999998,0.9694410779218351,29.20789,0.19773175820654842
1.8399999999999999,0.9534466518830328,28.428938,0.17698556045637281
1.8599999999999999,0.9774502231215041,29.151983,0.20458530829903188
1.88,0.9717420687315913,29.259958,0.1848568340092398
1.9,0.9786834774394538,29.569855,0.19065946096378505
1.92,0.9814737218748895,29.856657,0.18638770573501362
1.94,0.972153019900256,29.77271,0.17536804028597208
1.96,0.9660838637172126,29.496056,0.18028571964393547
1.98,0.9717803501915987,29.835625,0.1656664462161891
2.0,0.9790444164106868,28.877726,0.2175849799025522
2.02,0.9902265516862631,29.500128,0.2241343376935192
2.04,0.9998001833032155,29.50078,0.23938786164428694
2.06,0.9952410634036778,29.72364,0.2362464380264685
2.08,0.9949101211205968,29.044495,0.2532540170341796
2.1,0.9923953482265587,28.94559,0.25605059481989967
2.12,0.9882409802481542,29.41357,0.22257348056869075
2.14,0.9675639613746908,28.899044,0.20872186333124831
2.1599999999999997,0.9851129042196058,29.809414,0.21663055503610895
2.1799999999999997,1.0119850685476877,31.198017,0.22557544716241518
2.1999999999999997,1.0084048033081996,30.341238,0.23651319465875797
2.2199999999999998,0.9938593768119537,30.202217,0.2140012210198342
2.2399999999999998,1.0112095230507632,30.460388,0.2344869842244922
2.26,1.0068233759649943,30.571384,0.22194714282506012
2.28,0.998507347566369,29.519527,0.23886216834260243
2.3,1.0280615482203235,30.284124,0.26565167548351465
2.32,1.0110545914191689,30.654245,0.21921583238903164
2.34,0.9933999633503773,30.006428,0.21915359549157054
2.36,1.0020847663343684,30.805399,0.2006356101287673
2.38,1.004661931393028,30.621572,0.23267025817798692
2.4,0.9997976090785329,30.279325,0.22864779883157849
2.42,1.0109107463828821,30.664814,0.22141609781253846
2.44,1.0023743954294324,30.228527,0.21929402742223025
2.46,1.0109035983170298,29.964128,0.23155016926993188
2.48,1.0180016561341525,30.187138,0.2578934640517372
2.5,1.0202296871550665,30.015305,0.2657036794746638
2.52,1.0250656645665241,29.887665,0.27838370804357826
2.54,1.0326031754867082,29.721182,0.2760746505177102
2.56,1.0248295551690554,29.719261,0.27220580057004284
2.58,1.0257567766924058,30.098946,0.26094184625059036
2.6,1.0467488007181542,29.592129,0.3083176521130133
2.6199999999999997,1.0447031800459847,29.630274,0.29952930383967413
2.6399999999999997,1.0321111786251518,28.682308,0.3349868928282361
2.6599999999999997,1.023158999796056,29.472513,0.28718879723216006
2.6799999999999997,1.0258875344272231,30.120226,0.2564861321469737
2.6999999999999997,1.0201380929493347,29.522787,0.261398581969563
2.7199999999999998,1.0332414875686442,29.735554,0.2830512433972838
2.7399999999999998,1.000909120145342,29.145584,0.23528285803564142
2.76,0.9956178418600355,28.643587,0.24060435015800363
2.78,0.9998509942177827,29.885685,0.2254799383450412
2.8,0.9964004038692559,28.985865,0.24707298544067402
2.82,0.9944220154048713,28.87143,0.24450940264865473
2.84,0.991104012721057,28.997484,0.2381304133014961
2.86,1.0041624667331501,29.728235,0.2649677118378495
2.88,1.0139319061894305,29.650623,0.29091220904986004
2.9,1.0018332920538364,29.180094,0.2616665646343336
2.92,1.0098591517950481,29.72905,0.2601159095365708
2.94,0.992520806095292,28.698524,0.22904862077093524
2.96,1.0186864779343903,29.829687,0.2614403302086239
2.98,1.0245711783021116,29.505947,0.2932094744183634
3.0,1.0053272113242804,29.397984,0.24283725162317316
3.02,1.0023547409840063,29.527641,0.2435948733434221
3.04,0.9901438621102074,28.852005,0.23757589516943245
3.06,1.02905615754663,29.9911,0.2629898664470266
3.08,1.0219939686808257,30.489408,0.24751489604683197
3.0999999999999996,1.0068299230339683,30.373405,0.2372452431318519
3.1199999999999997,1.0001746226079875,29.73501,0.22047424946846483
