#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,2137.934532780255,3233.1237097531557,5371.0582425334105,624.1659754678766,421.875,0.01203377090011333,0
10000,19.999999999999794,2206.573204655255,3174.7381861805916,5381.311390835846,612.8944434927965,421.875,0.01203377090011333,812
15000,29.99999999999425,2231.628868717755,2958.4787278696895,5190.107596587444,571.144789638356,421.875,0.01203377090011333,812
20000,40.00000000000292,2359.376915592755,2934.921501804376,5294.298417397131,566.5969837681328,421.875,0.01203377090011333,813
25000,50.00000000001514,2250.654259342755,2974.4822357036173,5225.136495046372,574.2343234684222,421.875,0.01203377090011333,771
30000,60.00000000002736,1957.1659780927548,3027.488440459594,4984.654418552349,584.4673589064291,421.875,0.01203377090011333,776
35000,70.00000000001826,2289.285118717755,3326.839283488691,5616.124402206446,642.2580986739008,421.875,0.01203377090011333,780
40000,79.99999999999496,2159.177696842755,3090.793367916718,5249.971064759473,596.6885992131341,421.875,0.01203377090011333,777
45000,89.99999999997165,2062.880821842755,3254.035267908126,5316.916089750881,628.2030257839459,421.875,0.01203377090011333,780
50000,99.99999999994834,2146.248009342755,3168.5780917853117,5314.8261011280665,611.705215466784,421.875,0.01203377090011333,782
55000,109.99999999992504,2242.605431217755,3090.794704562053,5333.400135779808,596.6888572572469,421.875,0.01203377090011333,784
60000,119.99999999990173,2216.370079655255,3170.3808521209285,5386.750931776183,612.0532447302547,421.875,0.01203377090011333,786
65000,129.99999999989262,2175.888634342755,3194.2281812159345,5370.116815558689,616.6570560171492,421.875,0.01203377090011333,784
70000,139.99999999994037,2192.883751530255,2946.958812765777,5139.842564296032,568.9208292540225,421.875,0.01203377090011333,787
75000,149.99999999998812,2110.724571842755,3137.926484685391,5248.651056528146,605.787814228017,421.875,0.01203377090011333,790
80000,160.00000000003587,2029.7665640302548,2945.9826027303934,4975.749166760648,568.7323684514993,421.875,0.01203377090011333,792
85000,170.00000000008362,2151.204064030255,3071.33118737489,5222.535251405145,592.9313563752008,421.875,0.01203377090011333,793
