Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,0.0,0.0
0.2425,0.0005469096046726589,0.0
0.2475,0.009859034088572019,0.0
0.2525,0.06922188003438323,0.0
0.2575,0.24899271444942794,0.0
0.2625,0.5474449331175159,0.0006223322468179415
0.26749998,0.8590222771564996,0.008190201351878723
0.2725,1.0500314831007795,0.03849971064121287
0.2775,1.1054410402084869,0.11142118036776698
0.2825,0.9963107118094304,0.23741300647252134
0.2875,0.8670155395148617,0.34634793492837124
0.2925,0.7001683555108428,0.4075369948529078
0.2975,0.5579604529656017,0.43109803577058614
0.3025,0.4350482447060948,0.40571958835292815
0.3075,0.35261000018306055,0.3604709733918576
0.3125,0.2904790551277223,0.32645044731600037
0.3175,0.24928495736124012,0.281402729171434
0.3225,0.21701334328679325,0.24456950245652223
0.3275,0.20344005024258732,0.2208987116128978
0.3325,0.1901283133030235,0.2065487796678545
0.3375,0.18607394030260105,0.19125050414511144
0.3425,0.18991109222463645,0.18250839806188593
0.3475,0.19028594680575592,0.17918839936374062
0.3525,0.1930080073984965,0.17917447267063524
0.35750002,0.19810300556782426,0.17889386444925046
0.3625,0.2036911802730259,0.1831588917408317
0.3675,0.2099341847136049,0.19143859672333394
0.3725,0.21968642611770278,0.19890249342403502
0.3775,0.22970375937919957,0.20801230175223367
0.3825,0.24110463802140805,0.2221504085507756
0.3875,0.24446597533541614,0.23625523142082128
0.39249998,0.2566244768635672,0.25722758961765313
0.3975,0.26604258161299127,0.2769891606745137
0.4025,0.28225997128265085,0.2948332897908652
0.4075,0.2895800523654661,0.3121120317669705
0.4125,0.3062511464958329,0.33533891483328515
0.4175,0.30785681587899255,0.3507878342893955
0.4225,0.31708752535466816,0.36783674416735107
0.4275,0.32412795804678246,0.3792703833419035
0.4325,0.3348064198892208,0.3929987368639749
0.4375,0.34392586834831745,0.3969122216609783
0.4425,0.3470570739359574,0.41184738801213794
0.4475,0.356370267000959,0.42612747149303454
0.4525,0.36528940708578606,0.4419251350606397
