#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,19.999999999999794,-579464.0621912302,106941.81396812742,-472522.2482231028,300.4752562371579,425.7611983561865,0.999888348650039,0
20000,40.00000000000292,-579178.592392032,107203.96664980071,-471974.6257422313,301.211828689749,425.8098518289116,0.9997741003763313,225
30000,60.00000000002736,-580283.5565642673,107528.27241725117,-472755.2841470161,302.1230331565341,426.85184736391307,0.9973335342758545,240
40000,79.99999999999496,-578759.9163947133,106553.16041292038,-472206.7559817929,299.38325328475685,425.5175590514424,1.0004608564041957,246
50000,99.99999999994834,-580783.4953390295,106854.32917377516,-473929.1661652543,300.22944952204375,425.8717000426606,0.999628905844141,250
60000,119.99999999990173,-579345.8840867546,107171.57488961716,-472174.3091971375,301.1208173062687,426.8437788489402,0.9973523866076746,245
70000,139.99999999994037,-579546.5826919479,105920.01309109875,-473626.5696008492,297.6042942723642,424.00598390650424,1.004027484757152,247
80000,160.00000000003587,-579046.6859275773,106212.82484101324,-472833.8610865641,298.42700975025036,426.4224887812952,0.9983377348608136,249
90000,180.00000000013137,-578067.8123722584,106296.64174959157,-471771.17062266683,298.66251077784267,427.08555443205546,0.9967877796984943,245
100000,200.00000000022686,-578500.7927042963,107365.6819339901,-471135.1107703062,301.6662013962822,425.81499825396565,0.9997620170478912,247
110000,220.00000000032236,-578953.8610641421,106772.13018549216,-472181.7308786499,299.9984943778368,425.41987247077793,1.0006905861523223,248
120000,240.00000000041786,-578524.6400742796,107086.68406753844,-471437.95600674115,300.8822988954637,429.1978152725899,0.9918821727301942,246
130000,260.00000000051335,-579059.6077811769,106958.35532452985,-472101.25245664705,300.5217326164066,426.6124672589876,0.9978931564725864,247
140000,280.00000000060885,-579292.5837439331,106760.82044079935,-472531.7633031338,299.9667172991764,424.932180412843,1.0018390726021895,248
